original_query,product_description,subset,comments,summary,avg_score
Does it not work well,Redeem against anything on PlayStation Store.,0,['title: This product is unintuitive to use and requires installing software that does not work DONT BUY IT \ntext: This product is unintuitive to use and requires installing software that does not work DONT BUY IT!'],"The product is criticized for being unintuitive and requiring the installation of software that fails to function properly, leading to a recommendation against purchasing it [0].",5.0
Does it not work well,Redeem against anything on PlayStation Store.,1,['title: This product took all my money and didn’t give me my digital code really annoying \ntext: I hated this product with all my heart it took all my money and I can’t find my digital code'],"The user expressed strong dissatisfaction with the product, stating that it took all their money without providing the promised digital code, which they found extremely frustrating and annoying [0].",4.0
Does it not work well,Redeem against anything on PlayStation Store.,2,"['title: Don\'t Buy! \ntext: Code does not even work.  They gave me  ""an already used code"" !  No way to get refunded either!!!  Waste of money!']","The product has been criticized for providing non-functional codes, with one user reporting that they received a code that was already used. Additionally, there is no option for a refund, leading to dissatisfaction and a perception that the purchase was a waste of money [0].",6.0
Does it not work well,Redeem against anything on PlayStation Store.,3,"[""title: DO NOT BUY \ntext: I would give a big fat Zero if I could! I bought this for Xmas for my grandson and the code did NOT work! Amazon can't do a thing about it! Never buying again! Rip people OFF!""]","The user expressed extreme dissatisfaction with the product, stating that they would rate it zero if possible. They purchased the product as a Christmas gift for their grandson, but encountered an issue where the code provided did not work. The user also mentioned that Amazon was unable to resolve the issue, leading to a vow never to purchase again due to feeling ripped off [0].",7.0
Does it not work well,Redeem against anything on PlayStation Store.,4,"[""title: Don't order it. \ntext: It did not work and now I have to call Playstation to try to deal with it.  Such a hassle! Wish I just went to store to buy one.""]","The user expressed dissatisfaction with the product, stating that it did not work and resulted in the inconvenience of having to contact Playstation for assistance. They regretted not purchasing the product in-store to avoid the hassle [0].",5.0
Does it not work well,Redeem against anything on PlayStation Store.,5,"['title: DO NOT GET THIS!!! (SCAM!!!!) \ntext: I got this card a $25 card and a $10 card, the $25 card said that it has already been redeemed and then I never even got the code for the $10 one! These are just rip offs, so don’t go out spending your money on these because you can’t even return them.']","A user expressed dissatisfaction with a product, describing it as a scam. They purchased a $25 card and a $10 card, but encountered issues with both. The $25 card was already redeemed, and they never received the code for the $10 card. The user warns others not to spend money on these products as they are non-refundable [0].",6.0
Does it not work well,Redeem against anything on PlayStation Store.,6,['title: Bad product but good support from Amazon \ntext: Didnt work. Not like xbox couldnt send code to my grandson in Europe!- code wouldnt work!- but Amazon refunded!'],"The product did not function as expected, as it failed to send a code to a recipient in Europe, which rendered it ineffective. However, Amazon provided good customer support by issuing a refund for the faulty product [0].",5.0
Does it not work well,Redeem against anything on PlayStation Store.,7,['title: Do not buy! \ntext: Do not buy this! Rip off. The code didn’t work and there is no place to get a refund.'],"A user expressed dissatisfaction with a product, describing it as a rip-off due to a non-functional code and the absence of a refund option [0].",5.0
Does it not work well,Redeem against anything on PlayStation Store.,01,"['title: This product is unintuitive to use and requires installing software that does not work DONT BUY IT \ntext: This product is unintuitive to use and requires installing software that does not work DONT BUY IT!', 'title: This product took all my money and didn’t give me my digital code really annoying \ntext: I hated this product with all my heart it took all my money and I can’t find my digital code']","Several users have expressed dissatisfaction with the product, citing significant issues with its usability and functionality. One user described the product as unintuitive and criticized the requirement to install software that ultimately does not work, advising others not to purchase it [0]. Another user reported a financial grievance, stating that the product took their money without providing the promised digital code, which they found extremely frustrating [1].",6.0
Does it not work well,Redeem against anything on PlayStation Store.,02,"['title: This product is unintuitive to use and requires installing software that does not work DONT BUY IT \ntext: This product is unintuitive to use and requires installing software that does not work DONT BUY IT!', 'title: Don\'t Buy! \ntext: Code does not even work.  They gave me  ""an already used code"" !  No way to get refunded either!!!  Waste of money!']","Several users have expressed dissatisfaction with the product, citing that it is unintuitive to use and requires the installation of non-functional software, which significantly detracts from its usability [0]. Additionally, there are complaints about receiving already used codes, with no available options for refunds, leading to a perception of the product as a waste of money [1].",6.0
Does it not work well,Redeem against anything on PlayStation Store.,03,"['title: This product is unintuitive to use and requires installing software that does not work DONT BUY IT \ntext: This product is unintuitive to use and requires installing software that does not work DONT BUY IT!', ""title: DO NOT BUY \ntext: I would give a big fat Zero if I could! I bought this for Xmas for my grandson and the code did NOT work! Amazon can't do a thing about it! Never buying again! Rip people OFF!""]","Several users have expressed dissatisfaction with the product, citing issues with its usability and software functionality. One user described the product as unintuitive and criticized the requirement to install non-functional software, advising others not to purchase it [0]. Another user shared their frustration over a non-working code for a gift, highlighting the lack of support from Amazon and feeling ripped off by the purchase [1].",7.0
Does it not work well,Redeem against anything on PlayStation Store.,04,"['title: This product is unintuitive to use and requires installing software that does not work DONT BUY IT \ntext: This product is unintuitive to use and requires installing software that does not work DONT BUY IT!', ""title: Don't order it. \ntext: It did not work and now I have to call Playstation to try to deal with it.  Such a hassle! Wish I just went to store to buy one.""]","Several users have expressed dissatisfaction with the product, citing that it is unintuitive to use and requires the installation of software that fails to function properly. One user strongly advises against purchasing it, emphasizing the frustration with the non-working software and the inconvenience it causes [0]. Another user shares their disappointment, mentioning that the product did not work as expected, leading to the hassle of contacting customer support for resolution, and regrets not purchasing it directly from a store [1].",6.0
Does it not work well,Redeem against anything on PlayStation Store.,05,"['title: This product is unintuitive to use and requires installing software that does not work DONT BUY IT \ntext: This product is unintuitive to use and requires installing software that does not work DONT BUY IT!', 'title: DO NOT GET THIS!!! (SCAM!!!!) \ntext: I got this card a $25 card and a $10 card, the $25 card said that it has already been redeemed and then I never even got the code for the $10 one! These are just rip offs, so don’t go out spending your money on these because you can’t even return them.']","Several users have expressed dissatisfaction with the product, citing that it is unintuitive to use and requires the installation of non-functional software, leading to a recommendation against purchasing it [0]. Additionally, there are complaints about the product being a scam, as users reported issues with redeeming purchased cards, with one user stating that a $25 card was already redeemed and a $10 card code was never received, making the product seem like a rip-off [1].",7.0
Does it not work well,Redeem against anything on PlayStation Store.,06,"['title: This product is unintuitive to use and requires installing software that does not work DONT BUY IT \ntext: This product is unintuitive to use and requires installing software that does not work DONT BUY IT!', 'title: Bad product but good support from Amazon \ntext: Didnt work. Not like xbox couldnt send code to my grandson in Europe!- code wouldnt work!- but Amazon refunded!']","The product has been criticized for being unintuitive and requiring software installation that fails to function properly, leading to a recommendation against purchasing it [0]. Another user experienced issues with the product not working as expected, particularly with sending a code to Europe, although they noted that Amazon provided good support by offering a refund [1].",6.0
Does it not work well,Redeem against anything on PlayStation Store.,07,"['title: This product is unintuitive to use and requires installing software that does not work DONT BUY IT \ntext: This product is unintuitive to use and requires installing software that does not work DONT BUY IT!', 'title: Do not buy! \ntext: Do not buy this! Rip off. The code didn’t work and there is no place to get a refund.']","Several users have expressed dissatisfaction with the product, citing that it is unintuitive to use and requires software installation that fails to function properly, leading to a recommendation against purchasing it [0]. Additionally, there are complaints about the product being a rip-off, with issues such as non-functional codes and a lack of refund options, further discouraging potential buyers [1].",6.25
Does it not work well,Redeem against anything on PlayStation Store.,12,"['title: This product took all my money and didn’t give me my digital code really annoying \ntext: I hated this product with all my heart it took all my money and I can’t find my digital code', 'title: Don\'t Buy! \ntext: Code does not even work.  They gave me  ""an already used code"" !  No way to get refunded either!!!  Waste of money!']","Several users expressed dissatisfaction with a product due to issues with digital codes. One user reported that the product took their money without providing the promised digital code, leading to significant frustration [0]. Another user complained that the code they received was already used, and they were unable to obtain a refund, describing the purchase as a waste of money [1].",6.0
