original_query,product_description,subset,comments,summary,avg_score
How's the multiplayer capability of the product,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",0,"[""title: Not two player as described \ntext: Says one or two players, means if you're willing to cut your remote in half two people can control half of one player""]","The comment highlights a misleading description regarding the multiplayer capability of the product. It states that while the product claims to support one or two players, in reality, it only allows two people to control half of one player by sharing a single remote, rather than providing a true two-player experience [0].",8.0
How's the multiplayer capability of the product,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",1,"['title: Decent \ntext: This game is a little deceiving, it says it’s 2 players but it’s not really a good 2 player. Like you get to float around them. But not actually play.Really fun 1 player though!']","The game is advertised as having a two-player mode, but the multiplayer experience is limited. Players can only interact by floating around each other rather than engaging in a fully interactive two-player gameplay. However, the game is enjoyable as a single-player experience [0].",8.0
How's the multiplayer capability of the product,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",2,['title: Amazing Game \ntext: Amazing product all the games are outstanding and it is totally worth it just hoping that there is a Wii Sports compilation pack for the switch'],[0] is not related to the query.,0.0
How's the multiplayer capability of the product,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",3,"['title: Barebones emulation \ntext: The product is a huge disappointment, in particular Mario sunshine which is borderline unplayable since Nintendo has ruined the controls in particular the camera controls. To make the problem even worse Gamecube controllers are not supported.']",[0] is not related to the query.,0.0
How's the multiplayer capability of the product,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",4,['title: Don’t let it fool you \ntext: You don’t actually play co-op. All single player. Don’t let it mislead you. Still good old school-ish games.'],"The comment highlights that despite the product being marketed with multiplayer capabilities, it is actually a single-player experience. The user warns others not to be misled by the co-op label, although they still appreciate the product for its old-school gaming qualities [0].",7.0
How's the multiplayer capability of the product,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",5,['title: Amazing! \ntext: Great game to have! Perfect for the whole family to play with.'],[0] is not related to the query.,0.0
How's the multiplayer capability of the product,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",6,['title: Yahoo! \ntext: A great bundle of games. Has some bugs but its still fun'],[0] is not related to the query.,0.0
How's the multiplayer capability of the product,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",7,"[""title: All 3 Games in one cartridge \ntext: Don't even need internet to play all 3 games which is the main reason why I bought this.Super Mario 64 looks smoother and better than before.The controllers took a while to get used to again since the camera for SM64 was weird but cool at the time it came out.Super Mario Sunshine was also a bit awkward having the map at L1, I accidentally press it.  A & B have the same button action.The switch does have remapping the the system settings.""]",[0] is not related to the query.,0.0
How's the multiplayer capability of the product,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",01,"[""title: Not two player as described \ntext: Says one or two players, means if you're willing to cut your remote in half two people can control half of one player"", 'title: Decent \ntext: This game is a little deceiving, it says it’s 2 players but it’s not really a good 2 player. Like you get to float around them. But not actually play.Really fun 1 player though!']","The comments highlight issues with the multiplayer capability of the product. One user points out that although the product claims to support one or two players, it only allows two people to control half of one player if they share a remote, which is misleading[0]. Another user echoes this sentiment, stating that while the game advertises a two-player mode, it does not provide a satisfactory multiplayer experience, as the second player can only 'float around' rather than actively participate in the game[1].",9.0
How's the multiplayer capability of the product,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",02,"[""title: Not two player as described \ntext: Says one or two players, means if you're willing to cut your remote in half two people can control half of one player"", 'title: Amazing Game \ntext: Amazing product all the games are outstanding and it is totally worth it just hoping that there is a Wii Sports compilation pack for the switch']","The comment highlights a misleading description regarding the multiplayer capability of the product. It states that while the product claims to support one or two players, in reality, it only allows for two people to control half of one player by sharing a single remote, rather than providing a true two-player experience [0]. [1] is not related to the query.",8.0
