original_query,product_description,subset,comments,summary,avg_score
Does the makeup brush have a smell,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",0,"['title: Strong Chemical Odor \ntext: I honestly cannot even review the quality of use of the product because I can’t even get past the strong odor from the brushes themselves. Seriously, people want clean products. Do better.']","The user expresses dissatisfaction with the product due to a strong chemical odor emanating from the brushes, which prevents them from evaluating the product's quality of use. They emphasize the need for cleaner products and urge the manufacturer to improve in this aspect [0].",8.0
Does the makeup brush have a smell,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",1,['title: Great bargin \ntext: A little smelly at first. For the price an amazing deal'],"The product is described as having a slight smell initially, but it is considered an amazing deal given its price [0].",5.0
Does the makeup brush have a smell,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",2,['title: Strong Chemical Smell \ntext: I was so excited for these brushes but when I got them and opened the bubble pack all you could smell was a strong chemical smell. It honestly smelled like a can of paint. I thought maybe it was the bubble pack and opened the brushes and the brushes smelled even stronger. Very disappointing but I guess you get what you pay for. Returned.'],"The user expressed disappointment with the product due to a strong chemical smell emanating from the brushes upon opening the package. The smell was likened to that of a can of paint, and it persisted even after removing the brushes from the packaging, leading to the decision to return the product [0].",9.0
Does the makeup brush have a smell,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",3,"['title: Nice brushes \ntext: Very nice brushes, only complaint is that the brushes have a very strong chemical smell']","The brushes are described as nice, but there is a complaint about them having a very strong chemical smell [0].",6.5
Does the makeup brush have a smell,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",4,['title: Great brushes \ntext: It had a little odor but I was going to wash the brushes anyway.'],"The product had a slight odor, but the user intended to wash the brushes regardless of the smell [0].",4.25
Does the makeup brush have a smell,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",5,['title: work well for price \ntext: I like these brushes for the price but they did have a strong chemical smell when opened up.  after airing them out a bit they are fine and are soft on the face.'],"The brushes are appreciated for their affordability, but they initially emit a strong chemical smell upon opening. However, after being aired out, the smell dissipates, and the brushes are noted to be soft on the face [0].",7.5
Does the makeup brush have a smell,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",6,['title: good quality \ntext: Good product I recommend it for everyone soft and good quality'],[0] is not related to the query.,0.0
Does the makeup brush have a smell,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",7,"['title: Received only 16 brushes/brushes had a bad smell to it \ntext: The brushes are very cute. i gave a three stars, because they had a bad smell even after i wash them.secondly they way too soft and i received 16 brushes instead of 17. The eye brow brush with the comb was missing.']","The user reported that the brushes had a bad smell that persisted even after washing them, which contributed to their three-star rating of the product. [0]",8.0
Does the makeup brush have a smell,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",01,"['title: Strong Chemical Odor \ntext: I honestly cannot even review the quality of use of the product because I can’t even get past the strong odor from the brushes themselves. Seriously, people want clean products. Do better.', 'title: Great bargin \ntext: A little smelly at first. For the price an amazing deal']","Several users have commented on the smell of the product, with one user expressing a strong aversion to the chemical odor emanating from the brushes, which prevented them from using the product altogether. They emphasized the need for cleaner products in the market [0]. Another user noted that the product was a bit smelly initially but still considered it a great bargain given the price [1].",8.5
Does the makeup brush have a smell,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",02,"['title: Strong Chemical Odor \ntext: I honestly cannot even review the quality of use of the product because I can’t even get past the strong odor from the brushes themselves. Seriously, people want clean products. Do better.', 'title: Strong Chemical Smell \ntext: I was so excited for these brushes but when I got them and opened the bubble pack all you could smell was a strong chemical smell. It honestly smelled like a can of paint. I thought maybe it was the bubble pack and opened the brushes and the brushes smelled even stronger. Very disappointing but I guess you get what you pay for. Returned.']","Several users have expressed dissatisfaction with the product due to a strong chemical odor emanating from the brushes. One user mentioned that the smell was so overpowering that it prevented them from assessing the product's quality, emphasizing the need for cleaner products [0]. Another user described the smell as similar to a can of paint, noting that the odor was noticeable immediately upon opening the packaging and even stronger on the brushes themselves, leading to disappointment and a return of the product [1].",9.5
