original_query,product_description,subset,comments,summary,avg_score
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",0,"['title: Cheaper price, same great quality \ntext: This product stands as a testament to the reason I go to the store to find the product then buy it online at a cheaper price']",[0] is not related to the query.,0.0
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",1,"[""title: Quality \ntext: It's worth the price. Controllers last much longer than off brand""]","The product is considered to be worth its price due to its durability, as the controllers last significantly longer than off-brand alternatives [0].",6.0
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",2,['title: Great Quality and Price \ntext: Great price and product and unlike others this one worked.Ordered one from ebay and it was garabe but this seller is legit .5 stars'],"The product is praised for its great quality and price, with the user noting that it worked well compared to a previous purchase from another seller that was unsatisfactory. The user expresses satisfaction with the seller, rating the product five stars for its legitimacy and performance [0].",7.0
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",3,['title: Great buy and Product is exactly what I expected! \ntext: I liked the red color and that the product quality was exactly what I needed!'],"The user expressed satisfaction with the product, highlighting that the quality met their expectations and that they appreciated the red color of the item [0].",4.75
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",4,"['title: Five Stars \ntext: i only recommend the original makers product, pay more but better then the knockoffs']","The user highly recommends purchasing the original maker's product, suggesting that it is worth paying more for better quality compared to knockoffs [0].",5.0
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",5,['title: great product \ntext: Great product and so much cheaper than buying it in store'],[0] is not related to the query.,0.0
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",6,"['title: Nice, new and crispy \ntext: Nice new and crispy! Very happy with the quality, the vendor and the price 10/10 would recommend.']","The product is described as 'nice, new, and crispy,' with the user expressing high satisfaction with its quality. The vendor and price also receive positive remarks, leading to a strong recommendation with a rating of 10/10 [0].",6.0
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",7,['title: .Quality \ntext: Very nice and the shipping was very quick. My grandson loved it for Christmas.'],[0] is not related to the query.,0.0
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",01,"['title: Cheaper price, same great quality \ntext: This product stands as a testament to the reason I go to the store to find the product then buy it online at a cheaper price', ""title: Quality \ntext: It's worth the price. Controllers last much longer than off brand""]","The product is praised for maintaining great quality despite being available at a cheaper price online, which encourages customers to purchase it through this channel after checking it in-store [0]. Additionally, the product is considered worth its price, with controllers that last significantly longer than off-brand alternatives, highlighting its superior quality [1].",8.0
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",02,"['title: Cheaper price, same great quality \ntext: This product stands as a testament to the reason I go to the store to find the product then buy it online at a cheaper price', 'title: Great Quality and Price \ntext: Great price and product and unlike others this one worked.Ordered one from ebay and it was garabe but this seller is legit .5 stars']","The product is praised for maintaining great quality despite being available at a cheaper price, which encourages customers to find it in-store and purchase it online for better deals [0]. Additionally, the product is highlighted for its excellent quality and price, with a specific mention of its reliability compared to similar products from other sellers, earning it a 5-star rating [1].",8.0
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",03,"['title: Cheaper price, same great quality \ntext: This product stands as a testament to the reason I go to the store to find the product then buy it online at a cheaper price', 'title: Great buy and Product is exactly what I expected! \ntext: I liked the red color and that the product quality was exactly what I needed!']","The product is praised for maintaining great quality despite being available at a cheaper price, which encourages customers to find it in-store and purchase it online for better deals [0]. Additionally, the product meets expectations in terms of quality, with specific appreciation for its color and overall satisfaction with the purchase [1].",7.0
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",04,"['title: Cheaper price, same great quality \ntext: This product stands as a testament to the reason I go to the store to find the product then buy it online at a cheaper price', 'title: Five Stars \ntext: i only recommend the original makers product, pay more but better then the knockoffs']","The comments highlight differing perspectives on the quality of the product. One user appreciates the product for maintaining great quality despite being available at a cheaper price online, suggesting that the product's quality is consistent regardless of the purchasing method [0]. Another user emphasizes the superior quality of the original maker's product, recommending it over cheaper knockoffs, indicating that paying more ensures better quality [1].",8.0
How would you rate the overall quality of the switch,"The DualShock 4 Wireless Controller features familiar controls, and incorporates several innovative features to usher in a new era of interactive experiences. Its definitive analog sticks and trigger buttons have been improved for greater feel and sensitivity. A multi touch, clickable touch pad expands gameplay possibilities, while the incorporated light bar in conjunction with the PlayStation Camera allows for easy player identification and screen adjustment when playing with friends in the same room. The addition of the Share button makes utilizing the social capabilities of the PlayStation 4 as easy as the push of a button. The DualShock 4 Wireless Controller is more than a controller; it's your physical connection to a new era of gaming.",05,"['title: Cheaper price, same great quality \ntext: This product stands as a testament to the reason I go to the store to find the product then buy it online at a cheaper price', 'title: great product \ntext: Great product and so much cheaper than buying it in store']","The comment highlights that the product maintains its great quality even when purchased at a cheaper price online, suggesting that the quality is consistent regardless of the purchasing method [0]. [1] is not related to the query.",6.0
