original_query,product_description,subset,comments,summary,avg_score
How stretchy is the headwrap,"['💖Package Included💖You will receive 4 pieces head wrap scarves in different colors including wine red,royal blue, black,army green. They can be applied as turban, scarf and shawl, sutiable for a variety of hair styles and offering proper styling.', ""💖Extra Long & Wide💖Extra long and large size 180 cm /70.9 x 85 cm / 33.5 inches, long enough to fit most people's head and hair style well, allows you to forge grace and charming look."", '💖 Soft and Breathable Material💖These good quality turbans are made of polyester, super soft light weight stretchy fabric. They are suitable for all seasons and will bring you a lightweight, breathable and comfortable feel all day.', '💖Quick and Easy to Use💖No special skills sre required when you use them.These headwraps are super easy to tie and very suitable for wrapping long hair and dreadlocks.You just simply need wrap your head, tuck the ends, and the stretch knit provides a secure hold.', '💖 Widely Application💖 These turbans are fashion accessories for women and girls.They can be used head wrap scarf, daily head wrap, fashion scarf. You can choose them during travel, wedding,proms, birthday party, fashion show, yoga, sports workout.They can easily match your jeans and other clothes.']",0,['title: Awesome stretch! \ntext: I love this jersey material! It is soft and feels comfortable when styled into preferable fashions.'],[0] is not related to the query.,0.0
How stretchy is the headwrap,"['💖Package Included💖You will receive 4 pieces head wrap scarves in different colors including wine red,royal blue, black,army green. They can be applied as turban, scarf and shawl, sutiable for a variety of hair styles and offering proper styling.', ""💖Extra Long & Wide💖Extra long and large size 180 cm /70.9 x 85 cm / 33.5 inches, long enough to fit most people's head and hair style well, allows you to forge grace and charming look."", '💖 Soft and Breathable Material💖These good quality turbans are made of polyester, super soft light weight stretchy fabric. They are suitable for all seasons and will bring you a lightweight, breathable and comfortable feel all day.', '💖Quick and Easy to Use💖No special skills sre required when you use them.These headwraps are super easy to tie and very suitable for wrapping long hair and dreadlocks.You just simply need wrap your head, tuck the ends, and the stretch knit provides a secure hold.', '💖 Widely Application💖 These turbans are fashion accessories for women and girls.They can be used head wrap scarf, daily head wrap, fashion scarf. You can choose them during travel, wedding,proms, birthday party, fashion show, yoga, sports workout.They can easily match your jeans and other clothes.']",1,['title: Stretch \ntext: The scarf stretches on the short length really nice. But there is No stretch the long way... This sucks because the length of the scarf is whats used in creating the style or the wrap.'],"The scarf exhibits good stretchability along its short length, which is beneficial for certain uses. However, it lacks stretch along its long length, which is a drawback since the length is crucial for styling or wrapping purposes [0].",8.0
How stretchy is the headwrap,"['💖Package Included💖You will receive 4 pieces head wrap scarves in different colors including wine red,royal blue, black,army green. They can be applied as turban, scarf and shawl, sutiable for a variety of hair styles and offering proper styling.', ""💖Extra Long & Wide💖Extra long and large size 180 cm /70.9 x 85 cm / 33.5 inches, long enough to fit most people's head and hair style well, allows you to forge grace and charming look."", '💖 Soft and Breathable Material💖These good quality turbans are made of polyester, super soft light weight stretchy fabric. They are suitable for all seasons and will bring you a lightweight, breathable and comfortable feel all day.', '💖Quick and Easy to Use💖No special skills sre required when you use them.These headwraps are super easy to tie and very suitable for wrapping long hair and dreadlocks.You just simply need wrap your head, tuck the ends, and the stretch knit provides a secure hold.', '💖 Widely Application💖 These turbans are fashion accessories for women and girls.They can be used head wrap scarf, daily head wrap, fashion scarf. You can choose them during travel, wedding,proms, birthday party, fashion show, yoga, sports workout.They can easily match your jeans and other clothes.']",2,"['title: Light and stretchy \ntext: Not heavy, breathable fabric, stretchy and versatile. My locs are giving and I love the colors. Not super see through either']","The product is described as light and stretchy, with a breathable fabric that offers versatility. It is noted for not being heavy and for having a good stretch, making it suitable for various uses. Additionally, the fabric is not overly see-through, which adds to its appeal [0].",6.0
How stretchy is the headwrap,"['💖Package Included💖You will receive 4 pieces head wrap scarves in different colors including wine red,royal blue, black,army green. They can be applied as turban, scarf and shawl, sutiable for a variety of hair styles and offering proper styling.', ""💖Extra Long & Wide💖Extra long and large size 180 cm /70.9 x 85 cm / 33.5 inches, long enough to fit most people's head and hair style well, allows you to forge grace and charming look."", '💖 Soft and Breathable Material💖These good quality turbans are made of polyester, super soft light weight stretchy fabric. They are suitable for all seasons and will bring you a lightweight, breathable and comfortable feel all day.', '💖Quick and Easy to Use💖No special skills sre required when you use them.These headwraps are super easy to tie and very suitable for wrapping long hair and dreadlocks.You just simply need wrap your head, tuck the ends, and the stretch knit provides a secure hold.', '💖 Widely Application💖 These turbans are fashion accessories for women and girls.They can be used head wrap scarf, daily head wrap, fashion scarf. You can choose them during travel, wedding,proms, birthday party, fashion show, yoga, sports workout.They can easily match your jeans and other clothes.']",3,['title: Stretch is great! \ntext: I love the stretch of the fabric! If you are a natural hair person wear a satin bonnet underneath because your hair products will  stain!'],"The comment highlights the excellent stretchability of the fabric, indicating satisfaction with this aspect of the product. However, it also advises users with natural hair to wear a satin bonnet underneath to prevent hair product stains, suggesting that while the stretch is appreciated, there are considerations for use with hair products [0].",7.0
How stretchy is the headwrap,"['💖Package Included💖You will receive 4 pieces head wrap scarves in different colors including wine red,royal blue, black,army green. They can be applied as turban, scarf and shawl, sutiable for a variety of hair styles and offering proper styling.', ""💖Extra Long & Wide💖Extra long and large size 180 cm /70.9 x 85 cm / 33.5 inches, long enough to fit most people's head and hair style well, allows you to forge grace and charming look."", '💖 Soft and Breathable Material💖These good quality turbans are made of polyester, super soft light weight stretchy fabric. They are suitable for all seasons and will bring you a lightweight, breathable and comfortable feel all day.', '💖Quick and Easy to Use💖No special skills sre required when you use them.These headwraps are super easy to tie and very suitable for wrapping long hair and dreadlocks.You just simply need wrap your head, tuck the ends, and the stretch knit provides a secure hold.', '💖 Widely Application💖 These turbans are fashion accessories for women and girls.They can be used head wrap scarf, daily head wrap, fashion scarf. You can choose them during travel, wedding,proms, birthday party, fashion show, yoga, sports workout.They can easily match your jeans and other clothes.']",4,"['title: Long, Breathable, and Comfortable \ntext: The material is comfortable to wear for protective styles.  Stretches for desirable wrapping styles.']","The product is noted for its stretchability, which allows for desirable wrapping styles, making it comfortable for protective styles [0].",6.0
How stretchy is the headwrap,"['💖Package Included💖You will receive 4 pieces head wrap scarves in different colors including wine red,royal blue, black,army green. They can be applied as turban, scarf and shawl, sutiable for a variety of hair styles and offering proper styling.', ""💖Extra Long & Wide💖Extra long and large size 180 cm /70.9 x 85 cm / 33.5 inches, long enough to fit most people's head and hair style well, allows you to forge grace and charming look."", '💖 Soft and Breathable Material💖These good quality turbans are made of polyester, super soft light weight stretchy fabric. They are suitable for all seasons and will bring you a lightweight, breathable and comfortable feel all day.', '💖Quick and Easy to Use💖No special skills sre required when you use them.These headwraps are super easy to tie and very suitable for wrapping long hair and dreadlocks.You just simply need wrap your head, tuck the ends, and the stretch knit provides a secure hold.', '💖 Widely Application💖 These turbans are fashion accessories for women and girls.They can be used head wrap scarf, daily head wrap, fashion scarf. You can choose them during travel, wedding,proms, birthday party, fashion show, yoga, sports workout.They can easily match your jeans and other clothes.']",5,"['title: It’s stretches well. \ntext: I just might purchase other colors however, I’ve not worn as if this date.']","The comment indicates that the product stretches well, suggesting satisfaction with its stretchability, which might lead to the purchase of additional colors [0].",5.0
How stretchy is the headwrap,"['💖Package Included💖You will receive 4 pieces head wrap scarves in different colors including wine red,royal blue, black,army green. They can be applied as turban, scarf and shawl, sutiable for a variety of hair styles and offering proper styling.', ""💖Extra Long & Wide💖Extra long and large size 180 cm /70.9 x 85 cm / 33.5 inches, long enough to fit most people's head and hair style well, allows you to forge grace and charming look."", '💖 Soft and Breathable Material💖These good quality turbans are made of polyester, super soft light weight stretchy fabric. They are suitable for all seasons and will bring you a lightweight, breathable and comfortable feel all day.', '💖Quick and Easy to Use💖No special skills sre required when you use them.These headwraps are super easy to tie and very suitable for wrapping long hair and dreadlocks.You just simply need wrap your head, tuck the ends, and the stretch knit provides a secure hold.', '💖 Widely Application💖 These turbans are fashion accessories for women and girls.They can be used head wrap scarf, daily head wrap, fashion scarf. You can choose them during travel, wedding,proms, birthday party, fashion show, yoga, sports workout.They can easily match your jeans and other clothes.']",6,"['title: Great Fit \ntext: Stretchy, for snug fit!...long enough to create whatever style u like....wash on gentle cycle, line dry or dryer on low....great purchase']","The product is described as stretchy, which allows for a snug fit and versatility in styling. This stretchability is highlighted as a positive feature of the product, contributing to its overall appeal as a great purchase [0].",6.0
How stretchy is the headwrap,"['💖Package Included💖You will receive 4 pieces head wrap scarves in different colors including wine red,royal blue, black,army green. They can be applied as turban, scarf and shawl, sutiable for a variety of hair styles and offering proper styling.', ""💖Extra Long & Wide💖Extra long and large size 180 cm /70.9 x 85 cm / 33.5 inches, long enough to fit most people's head and hair style well, allows you to forge grace and charming look."", '💖 Soft and Breathable Material💖These good quality turbans are made of polyester, super soft light weight stretchy fabric. They are suitable for all seasons and will bring you a lightweight, breathable and comfortable feel all day.', '💖Quick and Easy to Use💖No special skills sre required when you use them.These headwraps are super easy to tie and very suitable for wrapping long hair and dreadlocks.You just simply need wrap your head, tuck the ends, and the stretch knit provides a secure hold.', '💖 Widely Application💖 These turbans are fashion accessories for women and girls.They can be used head wrap scarf, daily head wrap, fashion scarf. You can choose them during travel, wedding,proms, birthday party, fashion show, yoga, sports workout.They can easily match your jeans and other clothes.']",7,['title: Get it!! \ntext: Great product for naturals!!!! I will be buying more. I love the length. The stretch. The versatility. These will be great all year!!!'],"The comment highlights the stretchability of the product, noting that it is one of the features the user loves about it, alongside its length and versatility. The user expresses satisfaction with the product's stretch, indicating it contributes to the overall positive experience with the product [0].",7.0
How stretchy is the headwrap,"['💖Package Included💖You will receive 4 pieces head wrap scarves in different colors including wine red,royal blue, black,army green. They can be applied as turban, scarf and shawl, sutiable for a variety of hair styles and offering proper styling.', ""💖Extra Long & Wide💖Extra long and large size 180 cm /70.9 x 85 cm / 33.5 inches, long enough to fit most people's head and hair style well, allows you to forge grace and charming look."", '💖 Soft and Breathable Material💖These good quality turbans are made of polyester, super soft light weight stretchy fabric. They are suitable for all seasons and will bring you a lightweight, breathable and comfortable feel all day.', '💖Quick and Easy to Use💖No special skills sre required when you use them.These headwraps are super easy to tie and very suitable for wrapping long hair and dreadlocks.You just simply need wrap your head, tuck the ends, and the stretch knit provides a secure hold.', '💖 Widely Application💖 These turbans are fashion accessories for women and girls.They can be used head wrap scarf, daily head wrap, fashion scarf. You can choose them during travel, wedding,proms, birthday party, fashion show, yoga, sports workout.They can easily match your jeans and other clothes.']",01,"['title: Awesome stretch! \ntext: I love this jersey material! It is soft and feels comfortable when styled into preferable fashions.', 'title: Stretch \ntext: The scarf stretches on the short length really nice. But there is No stretch the long way... This sucks because the length of the scarf is whats used in creating the style or the wrap.']","The product's stretchability is a mixed experience for users. One user appreciates the jersey material for its softness and comfort, which suggests a positive aspect of its stretchability when styled into various fashions [0]. However, another user finds the stretchability of the scarf limited, as it only stretches on the short length and not the long way, which is crucial for styling or wrapping [1].",8.0
How stretchy is the headwrap,"['💖Package Included💖You will receive 4 pieces head wrap scarves in different colors including wine red,royal blue, black,army green. They can be applied as turban, scarf and shawl, sutiable for a variety of hair styles and offering proper styling.', ""💖Extra Long & Wide💖Extra long and large size 180 cm /70.9 x 85 cm / 33.5 inches, long enough to fit most people's head and hair style well, allows you to forge grace and charming look."", '💖 Soft and Breathable Material💖These good quality turbans are made of polyester, super soft light weight stretchy fabric. They are suitable for all seasons and will bring you a lightweight, breathable and comfortable feel all day.', '💖Quick and Easy to Use💖No special skills sre required when you use them.These headwraps are super easy to tie and very suitable for wrapping long hair and dreadlocks.You just simply need wrap your head, tuck the ends, and the stretch knit provides a secure hold.', '💖 Widely Application💖 These turbans are fashion accessories for women and girls.They can be used head wrap scarf, daily head wrap, fashion scarf. You can choose them during travel, wedding,proms, birthday party, fashion show, yoga, sports workout.They can easily match your jeans and other clothes.']",02,"['title: Awesome stretch! \ntext: I love this jersey material! It is soft and feels comfortable when styled into preferable fashions.', 'title: Light and stretchy \ntext: Not heavy, breathable fabric, stretchy and versatile. My locs are giving and I love the colors. Not super see through either']","The product is praised for its stretchability, with users highlighting its light and breathable fabric that is both stretchy and versatile. The material is described as soft and comfortable, making it suitable for various fashion styles. Additionally, the fabric is noted for not being overly see-through, which adds to its versatility and appeal [0][1].",7.0
