original_query,product_description,subset,comments,summary,avg_score
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",0,"['title: Great Quality! \\ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.']","The comment highlights that the product arrived in excellent condition, with no scratches or missing cords, indicating good quality. The delivery was also fast and efficient, contributing to a positive experience overall [0].",5.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",1,"['title: Great product! \\ntext: When I was finally able to get one, I had no complaints.']","The comment indicates a positive experience with the product, as the user expresses satisfaction and mentions having no complaints after acquiring it [0].",4.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",2,"['title: Satisfied \\ntext: Got the product the very next day , super good experience']",[0] is not related to the query.,0.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",3,['title: brand new \\ntext: this product was brand new and had no issues with it.'],"The product was brand new and had no issues, indicating a high quality experience for the user [0].",5.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",4,"[""title: Great quality and design \\ntext: Honestly, it's worth it. Everything about the disc edition Ps5 is great, from design, quality to gameplay and even main menu. The one thing I would say that is annoying is the size of the storage since nowadays a lot of games need up to 500gb (call of duty) to install . Come on Sony why not go all the way to 1TB!""]",[0] is not related to the query.,0.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",5,['title: Unsatisfactory \\ntext: Trying to get this product is harder than getting tickets to San Diego comic con. I should not have to go through so much time effort and stress like a performing monkey in order to buy something.'],[0] is not related to the query.,0.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",6,['title: Fresh. \\ntext: Got mine in less than a week. Was expecting 2 weeks. Came in fresh condition. Great product.'],"The product was delivered in less than a week, which was faster than the expected two weeks, and it arrived in fresh condition, indicating good quality. [0]",5.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",7,['title: Love it! \\ntext: Amazing product. Its a truly special experience when you have this and a great display to play on.'],"The product is described as amazing, providing a truly special experience, especially when used with a great display [0].",4.25
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",8,['title: Great graphics \\ntext: Came in fast and the graphics on it are unbelievable on my 8k tv. I cannot wait for my games and content to display on my 8k system and tv'],[0] is not related to the query.,0.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",9,"['title: Hard to get \\ntext: Very hard to get. Looks great on the LG CX, LG C1, or LG G1 OLED TVs. I highly suggest it.']",[0] is not related to the query.,0.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",01,"['title: Great Quality! \\ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.', 'title: Great product! \\ntext: When I was finally able to get one, I had no complaints.']","The product is praised for its great quality, with a user noting that it arrived in excellent condition without any scratches or missing parts, and the delivery was fast and efficient [0]. Another user expressed satisfaction with the product, stating they had no complaints once they received it [1].",6.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",02,"['title: Great Quality! \\ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.', 'title: Satisfied \\ntext: Got the product the very next day , super good experience']",[0] is not related to the query. [1] is not related to the query.,5.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",03,"['title: Great Quality! \\ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.', 'title: brand new \\ntext: this product was brand new and had no issues with it.']","The product is praised for its great quality, arriving in excellent condition without any scratches or missing cords. It was delivered quickly and was brand new with no issues reported by the users [0][1].",6.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",04,"['title: Great Quality! \\ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.', ""title: Great quality and design \\ntext: Honestly, it's worth it. Everything about the disc edition Ps5 is great, from design, quality to gameplay and even main menu. The one thing I would say that is annoying is the size of the storage since nowadays a lot of games need up to 500gb (call of duty) to install . Come on Sony why not go all the way to 1TB!""]","The product, specifically the disc edition PS5, is praised for its great quality and design. Users appreciate various aspects including the design, quality, gameplay, and main menu. However, there is a noted drawback regarding the storage size, as many modern games require significant space, up to 500GB, leading to a suggestion for Sony to increase the storage capacity to 1TB for better user experience [0]. [0] is not related to the query.",7.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",05,"['title: Great Quality! \\ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.', 'title: Unsatisfactory \\ntext: Trying to get this product is harder than getting tickets to San Diego comic con. I should not have to go through so much time effort and stress like a performing monkey in order to buy something.']",[0] is not related to the query. [1] is not related to the query.,5.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",06,"['title: Great Quality! \\ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.', 'title: Fresh. \\ntext: Got mine in less than a week. Was expecting 2 weeks. Came in fresh condition. Great product.']","The product is praised for its great quality, with comments highlighting the fast delivery and the excellent condition upon arrival. Customers noted that there were no scratches or missing parts, and the product arrived in a fresh condition, exceeding delivery time expectations.[0][1]",6.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",07,"['title: Great Quality! \\ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.', 'title: Love it! \\ntext: Amazing product. Its a truly special experience when you have this and a great display to play on.']","The product is described as amazing, providing a truly special experience when used with a great display, indicating high quality and user satisfaction [0]. [0] is not related to the query.",5.25
