original_query,product_description,subset,comments,summary,avg_score
How’s the graphics of PS5,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",0,"[""title: It's Beautiful \ntext: Its beautiful T.T so glad we got this. The graphics are incredible even on our projetor with the light on. It came super fast as well it did not disappoint.""]","The graphics quality of the product is described as incredible, even when projected with the lights on, indicating high performance in various lighting conditions [0].",5.0
How’s the graphics of PS6,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",1,['title: Great graphics \ntext: Came in fast and the graphics on it are unbelievable on my 8k tv. I cannot wait for my games and content to display on my 8k system and tv'],"The product's graphics quality is described as 'unbelievable' when displayed on an 8k TV, indicating a high level of visual performance and user satisfaction with the graphics capabilities [0].",5.0
How’s the graphics of PS7,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",2,"['title: Great Quality! \ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.']",[0] is not related to the query.,0.0
How’s the graphics of PS8,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",3,['title: Love it! \ntext: Amazing product. Its a truly special experience when you have this and a great display to play on.'],[0] is not related to the query.,0.0
How’s the graphics of PS9,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",4,['title: Great graphics \ntext: What can I say PlayStation does it again great graphics and high resolution the controllers do get warm but that’s the controller not the console'],"The PlayStation is praised for its great graphics and high resolution, highlighting the product's strong performance in terms of visual quality. [0]",5.0
How’s the graphics of PS10,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",5,"['title: This is the beginning of something incredible... \ntext: This product is not a gimmick let’s establish that baseline. The graphics are phenomenal, very comparable to PC. I’m excited to see where Sony and game developers take this.']","The graphics quality of the product is described as phenomenal and comparable to PC, indicating a high level of visual performance. The commenter expresses excitement about the potential future developments from Sony and game developers in this area [0].",5.75
How’s the graphics of PS11,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",6,['title: GRAPHICS ON POINT \ntext: way better than the XBOX in my opinion i love my PS5 if you can get one GET ONE.'],"The comment highlights a positive opinion on the graphics quality of the PS5, stating that it is superior to that of the Xbox. The user expresses strong satisfaction with the PS5 and recommends purchasing it if possible [0].",5.0
How’s the graphics of PS12,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",7,"[""title: Hard to get \ntext: Very hard to get. Looks great on the LG CX, LG C1, or LG G1 OLED TV's. I highly suggest it.""]",[0] is not related to the query.,0.0
How’s the graphics of PS13,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",01,"[""title: It's Beautiful \ntext: Its beautiful T.T so glad we got this. The graphics are incredible even on our projetor with the light on. It came super fast as well it did not disappoint."", 'title: Great graphics \ntext: Came in fast and the graphics on it are unbelievable on my 8k tv. I cannot wait for my games and content to display on my 8k system and tv']","The product is praised for its impressive graphics quality, with one user noting that the graphics are incredible even when displayed on a projector with the lights on, highlighting the product's ability to maintain visual clarity in less-than-ideal lighting conditions [0]. Another user is equally impressed, describing the graphics as unbelievable on an 8k TV, expressing excitement about experiencing games and content on such a high-resolution system [1].",7.0
How’s the graphics of PS14,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",02,"[""title: It's Beautiful \ntext: Its beautiful T.T so glad we got this. The graphics are incredible even on our projetor with the light on. It came super fast as well it did not disappoint."", 'title: Great Quality! \ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.']","The graphics quality of the product is described as incredible, even when displayed on a projector with the lights on, indicating high performance in various lighting conditions [0]. [1] is not related to the query.",5.0
