original_query,product_description,subset,comments,summary,avg_score
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,0,['title: Rapidity to get the product \ntext: Easy to use and order comes within secondes . I used it for my 10 years old boy'],"The product is noted for its rapid delivery, with orders arriving within seconds, making it convenient for users [0].",8.0
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,1,['title: Greatt product \ntext: I like the fact that you get it fast to used it'],"The user appreciates the product's fast delivery, highlighting that it allows them to use it quickly after purchase [0].",7.0
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,2,"['title: Delivered fairly fast \ntext: Its not instant delivery but it takes about 10 minutes to get the code, beats going to the store.']","The delivery speed of the product is described as fairly fast, taking about 10 minutes to receive the code, which is considered more convenient than going to a physical store [0].",6.0
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,3,['title: Prompt delivery \ntext: Was delivered prompty and worked so there isnt much else to say.'],"The product was delivered promptly, and it functioned as expected, leaving little else to comment on regarding the delivery speed [0].",5.0
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,4,['title: Fast Delivery \ntext: I received a code and had a physical copy printed within a minute. Super fast and makes a great gift'],"The delivery speed of the product is exceptionally fast, as one user reported receiving a code and having a physical copy printed within a minute, highlighting its efficiency and suitability as a gift option [0].",9.0
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,5,"[""title: Fast digital delivery. \ntext: The digital delivery did not take long at all, that's a plus for me because I have an impatience 11 years old kid at home, also no problems at all Redeeming the code in my sons Playstation 4 either...""]","The digital delivery of the product was notably fast, which was appreciated by the user, especially considering the impatience of their 11-year-old child. Additionally, there were no issues encountered when redeeming the code on a PlayStation 4, highlighting the efficiency of the delivery process [0].",8.0
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,6,['title: Fast delivery \ntext: It arrived in my email in less than 5 mins and there were no problems downloading it.'],"The delivery speed of the product was exceptionally fast, with the item arriving via email in less than five minutes without any issues during the download process [0].",8.0
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,7,"['title: EASY and FAST delivery! \ntext: Delivered almost instantly to email which made my son very happy!  The code worked perfectly, so glad I can purchase these online as we live quite a distance to the nearest town.  Great transaction!']","The delivery speed of the product was praised for being almost instantaneous, as it was delivered directly to the email, which was a significant convenience for the user who lives far from the nearest town [0].",8.75
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,01,"['title: Rapidity to get the product \ntext: Easy to use and order comes within secondes . I used it for my 10 years old boy', 'title: Greatt product \ntext: I like the fact that you get it fast to used it']","The comments highlight the fast delivery speed of the product, with one user noting that the order arrives within seconds, making it easy to use for their 10-year-old child [0]. Another user appreciates the quick delivery, emphasizing that they like receiving the product swiftly for immediate use [1].",8.0
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,02,"['title: Rapidity to get the product \ntext: Easy to use and order comes within secondes . I used it for my 10 years old boy', 'title: Delivered fairly fast \ntext: Its not instant delivery but it takes about 10 minutes to get the code, beats going to the store.']","The delivery speed of the product is notably quick, with one user mentioning that the order arrives within seconds, making it very convenient to use [0]. Another user noted that while the delivery is not instant, it takes about 10 minutes to receive the code, which is still faster than going to a physical store [1].",8.0
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,03,"['title: Rapidity to get the product \ntext: Easy to use and order comes within secondes . I used it for my 10 years old boy', 'title: Prompt delivery \ntext: Was delivered prompty and worked so there isnt much else to say.']","The comments highlight the fast delivery speed of the product. One user mentions that the order arrives ""within seconds,"" indicating an extremely rapid delivery process [0]. Another user confirms the promptness of the delivery, stating that the product was delivered promptly and functioned as expected [1].",8.0
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,04,"['title: Rapidity to get the product \ntext: Easy to use and order comes within secondes . I used it for my 10 years old boy', 'title: Fast Delivery \ntext: I received a code and had a physical copy printed within a minute. Super fast and makes a great gift']","The comments highlight the impressive delivery speed of the product. One user noted that the order was easy to use and arrived within seconds, which was particularly beneficial for their 10-year-old child [0]. Another user praised the service for providing a code and having a physical copy printed within a minute, emphasizing the speed and suitability for gifting [1].",9.0
How quick is the delivery of the gift card,Redeem against anything on PlayStation Store.,05,"['title: Rapidity to get the product \ntext: Easy to use and order comes within secondes . I used it for my 10 years old boy', ""title: Fast digital delivery. \ntext: The digital delivery did not take long at all, that's a plus for me because I have an impatience 11 years old kid at home, also no problems at all Redeeming the code in my sons Playstation 4 either...""]","The comments highlight the quick delivery speed of the product. One user noted that the order arrived within seconds, which was particularly beneficial for their 10-year-old child [0]. Another user appreciated the fast digital delivery, emphasizing that it was a significant advantage given their impatient 11-year-old, and they experienced no issues redeeming the code on a PlayStation 4 [1].",8.0
