original_query,product_description,subset,comments,summary,avg_score
Does the gauge gear help with healing,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",0,"[""title: Here it is \ntext: This product is amazing it helps my ear heal so fast after i've gauged it and its better than petroleum jelly""]","The product is praised for its healing properties, particularly in aiding the fast recovery of ears after gauging. It is noted to be more effective than petroleum jelly in this regard [0].",6.0
Does the gauge gear help with healing,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",1,['title: Great Product \ntext: Helps my ear heal very quickly and makes the stretching process quite easy. Definitely would recommend this to anyone who is thinking about stretching'],"The product is praised for its ability to aid in the healing process of the ear, making it an effective solution for those undergoing ear stretching. The user recommends it for its quick healing properties, suggesting it facilitates an easier stretching experience [0].",7.0
Does the gauge gear help with healing,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",2,"['title: GREAT PRODUCT! \ntext: Best stretching balm ive used.  Very good product, helps your ears heal while your in the stretching process.  I still use it even now, after I have stopped stretching.']","The product is praised for its effectiveness as a stretching balm, particularly in aiding the healing process of ears during stretching. Users continue to use it even after completing the stretching process, indicating its ongoing benefits for healing and maintenance [0].",7.0
Does the gauge gear help with healing,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",3,['title: Awesome! \ntext: This stuff is so awesome! Not only does it make stretching SOOO much easier but it also does wonders with healing. One of my ears got infected and this stuff wiped the infection away over night. I was a little worried about the small size at first but a little goes a long way. I bought mine a few weeks ago and use it twice a day and the jar is still pretty much full. I recommend this product to anyone.'],"The product is praised for its healing properties, as it reportedly helped clear an ear infection overnight. Despite initial concerns about the product's small size, it has proven to be long-lasting, with the user finding that a little goes a long way. The user recommends the product for its effectiveness in both aiding stretching and healing infections [0].",8.0
Does the gauge gear help with healing,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",4,"['title: Great \ntext: The product did meet the expectations . I really loved it, made gauging sooo much easier, and organic oils made for clean healing . Highly Recommend it .']","The product is praised for its healing properties, particularly due to the inclusion of organic oils that facilitate clean healing. The user highly recommends it for its effectiveness in meeting expectations and making gauging easier [0].",7.0
Does the gauge gear help with healing,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",5,['title: Awesome! \ntext: This product is fantastic. It makes the gauge healing process faster and less painful than when using other products like Vaseline. I would truly recommend this product to anyone who is stretching their ears and especially if you have sensitive ears or more scar tissue than normal. I absolutely love it!'],"The product is praised for its ability to accelerate the healing process and reduce pain compared to other products like Vaseline. It is particularly recommended for individuals stretching their ears, especially those with sensitive ears or more scar tissue than usual [0].",8.0
Does the gauge gear help with healing,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",6,['title: It really helped with the smell of stretching your ears ... \ntext: It really helped with the smell of stretching your ears and helped them heal faster. Because you heal faster you can go up sizes faster. It also helps with other cuts and minor abrasions in the healing process.'],"The product is noted for its healing properties, particularly in aiding the healing process of stretched ears. Users report that it not only helps reduce the smell associated with stretching but also accelerates healing, allowing for quicker size increases. Additionally, it is effective in promoting the healing of other cuts and minor abrasions [0].",8.0
Does the gauge gear help with healing,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",7,['title: Great \ntext: What a great product. Its really helped in the healing process. Whithout it starting up my first guages would have been much more painful. I would deffinatly buy from this seller again.'],"The product has been praised for its significant contribution to the healing process, particularly in easing the pain associated with starting gauges. The user expressed satisfaction with the product's effectiveness and indicated a willingness to purchase from the seller again [0].",7.0
Does the gauge gear help with healing,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",01,"[""title: Here it is \ntext: This product is amazing it helps my ear heal so fast after i've gauged it and its better than petroleum jelly"", 'title: Great Product \ntext: Helps my ear heal very quickly and makes the stretching process quite easy. Definitely would recommend this to anyone who is thinking about stretching']","The product is praised for its healing properties, particularly in aiding the healing process of ears after gauging. Users have noted that it helps the ear heal quickly and is more effective than petroleum jelly. Additionally, it facilitates the stretching process, making it easier and more comfortable for users who are considering stretching their ears [0][1].",8.0
Does the gauge gear help with healing,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",02,"[""title: Here it is \ntext: This product is amazing it helps my ear heal so fast after i've gauged it and its better than petroleum jelly"", 'title: GREAT PRODUCT! \ntext: Best stretching balm ive used.  Very good product, helps your ears heal while your in the stretching process.  I still use it even now, after I have stopped stretching.']","The product is highly praised for its healing properties, particularly in aiding the healing process of ears after gauging. Users have noted that it is more effective than petroleum jelly in promoting fast healing. Additionally, it is recommended as the best stretching balm, as it continues to support ear healing even after the stretching process has been completed [0][1].",8.0
