original_query,product_description,subset,comments,summary,avg_score
What’s the quality of this hair styling agent,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",0,"['title: Love the product \ntext: Love the product. the packaging was terrible, the cans were shoved in a box that was to small and the lids were broken on both of the cans.']",[0] is not related to the query.,0.0
What’s the quality of this hair styling agent,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",1,"['title: Quality \ntext: Love, love, love this hair spray. Excellent price. Holds extremely well! Arrived before expected!! I highly recommend this product!']","The user expresses high satisfaction with the hair spray, highlighting its excellent price and strong holding capability. The product also arrived earlier than expected, leading to a strong recommendation from the user [0].",6.25
What’s the quality of this hair styling agent,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",2,['title: OxKom selling quality products \ntext: Great price and product delivered on time and as expected. Would definitely buy from OxKom again.'],[0] is not related to the query.,0.0
What’s the quality of this hair styling agent,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",3,['title: Love this product \ntext: Have used this for very long time & this is the best deal to purchase it'],[0] is not related to the query.,0.0
What’s the quality of this hair styling agent,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",4,"['title: Great Value \ntext: Always a go to product and with quick ship, it was and is great value']",[0] is not related to the query.,0.0
What’s the quality of this hair styling agent,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",5,['title: Poor quality \ntext: I purchased travel size for travel. The lid doesn’t fit at all so I cannot take it on trips. Makes me wonder if it is even the correct product in the can.'],"The user expressed dissatisfaction with the product's quality, specifically mentioning that the lid does not fit properly, which prevents them from using it for travel purposes. This issue also raises doubts about whether the correct product is in the can [0].",5.25
What’s the quality of this hair styling agent,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",6,"[""title: Legitimate? \ntext: The can looks legitimate, but the product doesn't seem to be.""]","The comment suggests that while the packaging of the product appears authentic, the quality of the product itself is questionable [0].",4.25
What’s the quality of this hair styling agent,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",7,['title: Great product \ntext: Great product.  Have purchased Bed Head for several years and will continue to do so.'],"The user expresses satisfaction with the product, indicating a long-term positive experience with Bed Head and a commitment to continue purchasing it in the future, highlighting the product's quality [0].",5.25
What’s the quality of this hair styling agent,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",01,"['title: Love the product \ntext: Love the product. the packaging was terrible, the cans were shoved in a box that was to small and the lids were broken on both of the cans.', 'title: Quality \ntext: Love, love, love this hair spray. Excellent price. Holds extremely well! Arrived before expected!! I highly recommend this product!']","The user expresses high satisfaction with the hair spray, highlighting its excellent price and strong holding capability. They also note the product's timely arrival and strongly recommend it to others, indicating a positive perception of its quality [0]. [0] is not related to the query.",6.25
What’s the quality of this hair styling agent,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",02,"['title: Love the product \ntext: Love the product. the packaging was terrible, the cans were shoved in a box that was to small and the lids were broken on both of the cans.', 'title: OxKom selling quality products \ntext: Great price and product delivered on time and as expected. Would definitely buy from OxKom again.']",[0] is not related to the query. [1] is not related to the query.,0.0
