original_query,product_description,subset,comments,summary,avg_score
Is the hair brush soft and gentle on hair,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",0,['title: Kind of stiff \ntext: Seems ok but is on the stiff side. Thought it would be a lot softer'],"The product is perceived as being somewhat stiff, contrary to expectations of it being much softer [0].",5.0
Is the hair brush soft and gentle on hair,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",1,"['title: TOO SOFT \ntext: THE DESCRIPTION STATES THAT IT IS GOOD FOR ALL TYPES OF HAIR.  THE BRISTLES ON THE BRUSHES THAT I RECEIVED WERE TOO SOFT FOR MY HAIR.  I WISH THE DESCRIPTION WOULD STATE IF THE BRISTLES WERE SOFT, MEDIUM, OR STIFF.']","The user expressed dissatisfaction with the product, stating that the bristles on the brushes received were too soft for their hair. They suggested that the product description should specify the softness level of the bristles, such as soft, medium, or stiff, to better inform potential buyers [0].",6.0
Is the hair brush soft and gentle on hair,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",2,['title: not comfortable in my hand \ntext: I use it to brush my hair.The bristles are too soft.'],"The product's bristles are described as too soft, which affects its comfort and usability when used for brushing hair [0].",5.75
Is the hair brush soft and gentle on hair,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",3,"['title: Nice brush but very soft \ntext: Very well made brush, easy to hold, but the bristles are so soft.  I recommend this to anyone with fine hair or small child but not to anyone with thick or curly hair.  Unfortunately the bristles would bend upwards when brushing my hair.  This did nor allow the bristles to go through my hair.  But would be amazing for people who have tender head or fine hair.']","The product is described as a well-made brush that is easy to hold, but its bristles are notably soft. This softness makes it suitable for individuals with fine hair or small children, as it is gentle and unlikely to cause discomfort. However, the softness of the bristles is a drawback for those with thick or curly hair, as they tend to bend upwards and fail to penetrate through such hair types effectively. The brush is particularly recommended for people with tender scalps or fine hair due to its gentle nature [0].",8.0
Is the hair brush soft and gentle on hair,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",4,['title: My hair is so soft now \ntext: Works great. My hair is so soft. Great service. Ordered Saturday night and had it before noon on Monday.'],"The product is praised for making hair very soft, indicating its effectiveness in enhancing hair softness. Additionally, the service is noted for its prompt delivery, with an order placed on Saturday night arriving before noon on Monday [0].",4.0
Is the hair brush soft and gentle on hair,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",5,['title: I enjoy the scalp stimulation \ntext: I wanted to replace the Boar Bristle Paddle Hair Brush that I had purchased a few years ago.  The new brush looks the same but the bristles are soft and not the same as supplied by Gran Naturals.  How can I get the &quot;stiffer&quot; version?  I enjoy the scalp stimulation.'],"The user expresses a preference for a hairbrush with stiffer bristles, as they enjoy the scalp stimulation provided by such a brush. They note that the new brush they purchased has softer bristles compared to their previous one from Gran Naturals and are seeking advice on how to obtain the stiffer version they prefer.[0]",5.0
Is the hair brush soft and gentle on hair,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",6,['title: Good brush for adults or kids \ntext: Good brush for adults or kids. Brush bristles are on the softener side.'],"The brush is suitable for both adults and kids, with bristles that are on the softer side, making it gentle for use by all ages [0].",5.0
Is the hair brush soft and gentle on hair,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",7,"[""title: The quality of the brush is good, solid make \ntext: Its hard on the scalp, may be you get used to it after using it for 2-3 days. The quality of the brush is good, solid make. I don't know how people with too much hair/ soft hair will get benefitted.""]","The comment highlights that the brush is hard on the scalp, which may affect users with soft hair, as it is unclear how they would benefit from it due to its firmness [0].",4.0
Is the hair brush soft and gentle on hair,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",01,"['title: Kind of stiff \ntext: Seems ok but is on the stiff side. Thought it would be a lot softer', 'title: TOO SOFT \ntext: THE DESCRIPTION STATES THAT IT IS GOOD FOR ALL TYPES OF HAIR.  THE BRISTLES ON THE BRUSHES THAT I RECEIVED WERE TOO SOFT FOR MY HAIR.  I WISH THE DESCRIPTION WOULD STATE IF THE BRISTLES WERE SOFT, MEDIUM, OR STIFF.']","The product has received mixed reviews regarding its softness. One user mentioned that the product seemed okay but was on the stiff side, contrary to their expectations of it being softer [0]. Another user found the bristles of the brushes to be too soft for their hair, expressing a desire for the product description to specify the softness level of the bristles, whether soft, medium, or stiff [1].",6.0
Is the hair brush soft and gentle on hair,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",02,"['title: Kind of stiff \ntext: Seems ok but is on the stiff side. Thought it would be a lot softer', 'title: not comfortable in my hand \ntext: I use it to brush my hair.The bristles are too soft.']","The product has received mixed feedback regarding its softness. One user mentioned that the product is ""on the stiff side"" and expected it to be softer, indicating a level of dissatisfaction with its firmness [0]. In contrast, another user found the bristles to be ""too soft"" for brushing hair, suggesting that the softness did not meet their expectations for effective use [1].",6.0
