original_query,product_description,subset,comments,summary,avg_score
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",0,"['title: Quality \ntext: I was surprised when I got this. I had purchased to pratice braiding and that is what I am doing. Great quality,  very little shedding,  and full . Great product .']","The product is praised for its great quality, with very little shedding and fullness, making it ideal for practicing braiding [0].",5.0
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",1,"[""title: Not amazing quality. \ntext: Such as the hair is very rough, it could have been better, but it's still good for styling.""]","The product's quality is described as not amazing, with the hair being very rough. However, it is noted that despite this roughness, the product is still suitable for styling purposes [0].",4.0
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",2,"['title: Great quality! \ntext: The mannequin head has very minimal shedding, the hair is manageable, and the texture makes it easy to braid.']","The mannequin head is praised for its great quality, with minimal shedding and manageable hair. The texture of the hair is also noted to be easy to braid, indicating a high level of product quality [0].",6.0
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",3,['title: Quality product \ntext: I bought this so I can learn how to braid.  So far it has been great.'],"The product has been effective for learning how to braid, indicating a positive quality experience for the user [0].",3.0
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",4,['title: Good Quality \ntext: I brought her to practice on my braids. I wasn’t expecting for the this mannequin to be this good in quality and even to combs are heat resistant comb which is hard find... I got lucky 😍'],"The user expresses satisfaction with the quality of the mannequin, noting that it exceeded their expectations. They highlight the heat-resistant combs as a particularly valuable feature, which they find hard to find, indicating a high level of product quality [0].",7.0
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",5,"['title: EXCELLENT QUALITY! Full head of hair \ntext: [[VIDEOID:7d382ff99d1ce19423fd4b7a76d1d759]] I loved the quality and the fullness of the hair. Definitely love the hair. It does not shed as some reviews said. It combs through nicely.  Fast shipping, my product came earlier than expected. A must buy product!']","The product is praised for its excellent quality and fullness, with the user expressing satisfaction with the hair's lack of shedding and ease of combing. The user also appreciated the fast shipping, noting that the product arrived earlier than expected, and recommended it as a must-buy product [0].",8.0
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",6,"['title: Good quality for my buck \ntext: So i bought this mannequin for cosmetology school, the texture and length is true to description, it takes curs and heat really well, and shampoos great, however at first there is a bit of shedding. i realize though after a couple of shampoos that issue slowed down tremendously. otherwise this is an awesome buy, the price is not at all bad.']","The mannequin purchased for cosmetology school is described as having a texture and length that matches the description, handling curls and heat effectively, and performing well with shampooing. Initially, there was some shedding, but this issue decreased significantly after a few shampoos, making it a great purchase for the price [0].",7.0
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",7,['title: Great hair quality! \ntext: This was a gift for my niece...awesome quality! She loves it. Way better than a dumb barbie product'],"The product is praised for its excellent quality, with the user noting that it was a gift for their niece who loves it. The user also compares it favorably to Barbie products, suggesting it is of superior quality [0].",6.0
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",01,"['title: Quality \ntext: I was surprised when I got this. I had purchased to pratice braiding and that is what I am doing. Great quality,  very little shedding,  and full . Great product .', ""title: Not amazing quality. \ntext: Such as the hair is very rough, it could have been better, but it's still good for styling.""]","The product has received mixed reviews regarding its quality. One user praised it for its great quality, noting very little shedding and fullness, making it ideal for practicing braiding [0]. However, another user found the hair to be rough, suggesting that the quality could have been better, although it is still suitable for styling [1].",5.0
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",02,"['title: Quality \ntext: I was surprised when I got this. I had purchased to pratice braiding and that is what I am doing. Great quality,  very little shedding,  and full . Great product .', 'title: Great quality! \ntext: The mannequin head has very minimal shedding, the hair is manageable, and the texture makes it easy to braid.']","The product is praised for its great quality, with users highlighting its minimal shedding and fullness. It is particularly noted for being suitable for practicing braiding due to its manageable hair texture, which facilitates easy braiding [0][1].",6.0
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",03,"['title: Quality \ntext: I was surprised when I got this. I had purchased to pratice braiding and that is what I am doing. Great quality,  very little shedding,  and full . Great product .', 'title: Quality product \ntext: I bought this so I can learn how to braid.  So far it has been great.']","The product is praised for its great quality, with users noting that it has very little shedding and is full, making it ideal for practicing braiding. Customers express satisfaction with the product's performance in helping them learn how to braid, highlighting its effectiveness and quality.[0][1]",6.0
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",04,"['title: Quality \ntext: I was surprised when I got this. I had purchased to pratice braiding and that is what I am doing. Great quality,  very little shedding,  and full . Great product .', 'title: Good Quality \ntext: I brought her to practice on my braids. I wasn’t expecting for the this mannequin to be this good in quality and even to combs are heat resistant comb which is hard find... I got lucky 😍']","The product is praised for its great quality, with very little shedding and fullness, making it ideal for practicing braiding [0]. Additionally, the mannequin is noted for its unexpectedly high quality, including heat-resistant combs, which are considered a rare find [1].",7.0
How would you describe the quality of the mannequin,"['★ Individual Hair Strand:14 inches.', '★ Material: 100% real hair, Color: #2 Black.', '★ Professional - Ideal for Braiding,Curling,Cutting,Heat styled,Styling,etc.Perfect for cosmetology school and in salon education.Can be used by hairdresser, hair stylist, barber shop and the cosmetology school students.', '★ Entertaining & Learning - Doing hair with your kid, cultivate hands-on ability and develop imagination, this Training Head could be the bridge that sharing wonderful time with your kids.', ""★ Come with Free Table clamp holder, Note: For first used, pls comb from the hair bottom to above; It is common for losing a little hair first time and won't happen the next time.""]",05,"['title: Quality \ntext: I was surprised when I got this. I had purchased to pratice braiding and that is what I am doing. Great quality,  very little shedding,  and full . Great product .', 'title: EXCELLENT QUALITY! Full head of hair \ntext: [[VIDEOID:7d382ff99d1ce19423fd4b7a76d1d759]] I loved the quality and the fullness of the hair. Definitely love the hair. It does not shed as some reviews said. It combs through nicely.  Fast shipping, my product came earlier than expected. A must buy product!']","The product is praised for its excellent quality, with users highlighting its fullness and minimal shedding. One user mentioned that the product was purchased for practicing braiding and found it to be of great quality, with very little shedding and a full appearance, making it a great product overall [0]. Another user emphasized the excellent quality and fullness of the hair, noting that it does not shed as some reviews suggested, and it combs through nicely. The user also appreciated the fast shipping, receiving the product earlier than expected, and recommended it as a must-buy [1].",8.0
