original_query,product_description,subset,comments,summary,avg_score
How does the texture of the hair styling agent feel,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",0,"['title: Fake Product \ntext: This is a fake product. It doesn\'t smell the same and leaves my hair stiff rather than having a natural ""hold"". Wouldn\'t suggest buying.']",[0] is not related to the query.,0.0
How does the texture of the hair styling agent feel,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",1,['title: Good product \ntext: Perfect for traveling. My first time buying this brand. Holds well in humidity. I have fine/thin hair.'],[0] is not related to the query.,0.0
How does the texture of the hair styling agent feel,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",2,"['title: Have always loved this product \ntext: Have always loved this product...holds my hair perfectly, makes it shiny...I have never had an itchy scalp from it..very good product']",[0] is not related to the query.,0.0
How does the texture of the hair styling agent feel,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",3,['title: Good Product \ntext: Stick the hairs together! Have used this for years and love the product.'],[0] is not related to the query.,0.0
How does the texture of the hair styling agent feel,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",4,['title: Great hold \ntext: I this product has some of the best hold there is.'],[0] is not related to the query.,0.0
How does the texture of the hair styling agent feel,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",5,"['title: Great product and price point \ntext: Weird star options- I never heard of grading hairspray on sheerness, thickness, or stretch but this is my favorite hairspray for the price. It stays put and doesn’t leave white flakes in your hair the next day. After a couple days use it can make your hair feel slightly oily but it works well and we should all probably wash our hair before the oily issue happens- right😉😂🤫']",[0] is not related to the query.,0.0
How does the texture of the hair styling agent feel,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",6,"[""title: Five Stars \ntext: Love this product! It holds style without turning your hair into a &#34;helmet&#34; because it's so stiff.""]","The product is praised for its ability to hold style effectively without making the hair feel excessively stiff, avoiding a ""helmet""-like texture [0].",5.0
How does the texture of the hair styling agent feel,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",7,['title: It is ok \ntext: This product does not leave a white residue like got to be clue spray but does not hold better than the got to be glue spray'],[0] is not related to the query.,0.0
How does the texture of the hair styling agent feel,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",01,"['title: Fake Product \ntext: This is a fake product. It doesn\'t smell the same and leaves my hair stiff rather than having a natural ""hold"". Wouldn\'t suggest buying.', 'title: Good product \ntext: Perfect for traveling. My first time buying this brand. Holds well in humidity. I have fine/thin hair.']",[0] is not related to the query. [1] is not related to the query.,0.0
How does the texture of the hair styling agent feel,"One of the most popular of the Bed Head hair care products, the TIGI BH HARD HEAD HAIR SPRAY is a maximum hold hairspray that keeps your coif in perfect condition, no matter what. This long-lasting hairspray dries immediately and is scented with a berry and citrus fragrance. This product listing contains six bottles of TIGI BH HARD HEAD HAIR SPRAY.",02,"['title: Fake Product \ntext: This is a fake product. It doesn\'t smell the same and leaves my hair stiff rather than having a natural ""hold"". Wouldn\'t suggest buying.', 'title: Have always loved this product \ntext: Have always loved this product...holds my hair perfectly, makes it shiny...I have never had an itchy scalp from it..very good product']",[0] is not related to the query. [1] is not related to the query.,0.0
