original_query,product_description,subset,comments,summary,avg_score
How’s the quality of the dental tool,For anyone looking to take better care of their teeth in between cleanings.,0,['title: Well made product \ntext: Great product for a great price. Seems durable and well made.'],"The product is praised for being well-made and durable, offering great value for its price [0].",3.0
How’s the quality of the dental tool,For anyone looking to take better care of their teeth in between cleanings.,1,"[""title: Good item \ntext: Haven't used much but works as described &great quality for the price.""]","The product is described as having great quality for the price, even though it hasn't been used extensively yet [0].",3.0
How’s the quality of the dental tool,For anyone looking to take better care of their teeth in between cleanings.,2,['title: Exceeded Expectations! \ntext: At first I was skeptical due to some mixed reviews but I must say it definitely exceeded my expectations. I would highly recommend this product for anyone.'],"The comment indicates that the product exceeded the user's expectations despite initial skepticism due to mixed reviews, and the user highly recommends it to others [0].",4.0
How’s the quality of the dental tool,For anyone looking to take better care of their teeth in between cleanings.,3,"[""title: Good product for an easy clean up \ntext: The product comes on time and it's a good one to do an easy cleanup. The other accessories like dental mirror and pick are really helpful to do the job better.""]","The product is praised for its timely delivery and effectiveness in facilitating easy cleanup. Additionally, the included accessories, such as a dental mirror and pick, are noted for enhancing the product's utility and performance [0].",5.0
How’s the quality of the dental tool,For anyone looking to take better care of their teeth in between cleanings.,4,"[""title: Good product for an easy clean up \ntext: The product comes on time and it's a good one to do an easy cleanup. The other accessories like dental mirror and pick are really helpful to do the job better.""]","The product is praised for its timely delivery and effectiveness in facilitating easy cleanup. Additionally, the included accessories, such as a dental mirror and pick, are noted for enhancing the product's utility in performing tasks more efficiently [0].",5.0
How’s the quality of the dental tool,For anyone looking to take better care of their teeth in between cleanings.,5,"[""title: Good product for an easy clean up \ntext: The product comes on time and it's a good one to do an easy cleanup. The other accessories like dental mirror and pick are really helpful to do the job better.""]","The product is praised for its timely delivery and effectiveness in facilitating easy cleanup. Additionally, the included accessories, such as the dental mirror and pick, are noted for enhancing the product's utility and performance in completing tasks more efficiently [0].",5.0
How’s the quality of the dental tool,For anyone looking to take better care of their teeth in between cleanings.,6,"[""title: Cool \ntext: Nice product looks professional can't wait to try it. Will update once I do""]",[0] is not related to the query.,0.0
How’s the quality of the dental tool,For anyone looking to take better care of their teeth in between cleanings.,7,"['title: Great product \ntext: Very sturdy,  I use it a lot. Easy to clean and have had zero issues.']","The product is described as very sturdy and reliable, with frequent use and no issues reported. It is also noted for being easy to clean, indicating a high level of user satisfaction with its quality [0].",5.0
How’s the quality of the dental tool,For anyone looking to take better care of their teeth in between cleanings.,01,"['title: Well made product \ntext: Great product for a great price. Seems durable and well made.', ""title: Good item \ntext: Haven't used much but works as described &great quality for the price.""]","The product is praised for its durability and quality, with users noting that it is well-made and offers great value for the price [0][1].",4.0
How’s the quality of the dental tool,For anyone looking to take better care of their teeth in between cleanings.,02,"['title: Well made product \ntext: Great product for a great price. Seems durable and well made.', 'title: Exceeded Expectations! \ntext: At first I was skeptical due to some mixed reviews but I must say it definitely exceeded my expectations. I would highly recommend this product for anyone.']","The product is praised for its durability and quality construction, offering great value for the price [0]. Despite initial skepticism due to mixed reviews, the product exceeded expectations, leading to a strong recommendation for others [1].",5.0
