original_query,product_description,subset,comments,summary,avg_score
How effective is the blemish formula,High-strength vitamin and mineral blemish formula that visibly regulates sebum and minimizes pores. This products have NO safety seal.,0,['title: THIS PRODUCT WORKS GREAT! \ntext: This product is amazing! I used it to see if it would really help with redness and inflammation and it did! It took a few weeks for my skin to get used to the product but it ended up being great! The packaging it came in was absolutely untouched and overall in great condition!'],"The product is highly effective in reducing redness and inflammation, as reported by a user who experienced positive results after a few weeks of use. The user also noted that the product's packaging was in excellent condition upon arrival, indicating a satisfactory purchasing experience [0].",4.75
How effective is the blemish formula,High-strength vitamin and mineral blemish formula that visibly regulates sebum and minimizes pores. This products have NO safety seal.,1,"['title: Actually works \ntext: Check out my before and after pictures. They were taken on day one, three weeks apart, and one year. I used this product twice a day. Not alone though, I used it in conjunction with other ordinary products to reduce redness and pigmentation. I know this product works differently for everyone, however, it worked great for me! It does take time to work, as any skin care product should. Be patient, and CONSISTENT to see results!']","The user shared their positive experience with the product, noting its effectiveness in improving skin condition over time. They provided before and after pictures taken over a year, indicating that the product was used twice daily alongside other products to reduce redness and pigmentation. The user emphasized that while results may vary, patience and consistency are key to seeing improvements [0].",5.75
How effective is the blemish formula,High-strength vitamin and mineral blemish formula that visibly regulates sebum and minimizes pores. This products have NO safety seal.,2,['title: Effective \ntext: Does a great job at keeping my face clear of pimples and evening out my skin tone. My skin is acne prone and get darks marks all the time. Started using this product and things turned around quickly. I will order again.'],"The product is effective in maintaining clear skin and evening out skin tone, particularly for acne-prone skin that frequently develops dark marks. The user experienced a quick improvement after starting to use the product and plans to reorder it, indicating satisfaction with its effectiveness [0].",5.75
How effective is the blemish formula,High-strength vitamin and mineral blemish formula that visibly regulates sebum and minimizes pores. This products have NO safety seal.,3,"['title: Amazing product \ntext: I love the ordinary because of their ingredients and brand overall. This product is formulated with excellent ingredients. I use this product once in the morning and once at night after washing my face. It has helped with acne scarring, redness, pore visibility, and sebum production. This product is magic. If your looking for something to take your skin care routine one step further, this is it. Excellent product, great packaging, and easy to use. The dropper is super convient and helps prevent bacteria from entering into the product.']","The product is praised for its effectiveness in improving skin conditions such as acne scarring, redness, pore visibility, and sebum production. Users appreciate the high-quality ingredients and the convenience of the packaging, which includes a dropper to prevent contamination. The product is recommended for enhancing skincare routines due to its positive impact on skin health [0].",6.75
How effective is the blemish formula,High-strength vitamin and mineral blemish formula that visibly regulates sebum and minimizes pores. This products have NO safety seal.,4,['title: Awesome Product \ntext: I really feel like this product helped to even out the oiliness in my skin. My only complaint is that it takes a while to soak in and I have to wait several minutes before applying my moisturizer.'],"The product is effective in balancing skin oiliness, although it requires some time to absorb before applying additional skincare products [0].",3.75
How effective is the blemish formula,High-strength vitamin and mineral blemish formula that visibly regulates sebum and minimizes pores. This products have NO safety seal.,5,"['title: Buy it! \ntext: The product works well it cleared up my face and prevented more break outs, especially around that time of the month. I really noticed a significant difference on day 10 of using it. Would definitely recommend.']","The product is effective in clearing up skin and preventing breakouts, with noticeable improvements observed by the user by day 10 of usage. The user highly recommends the product based on their positive experience [0].",4.75
How effective is the blemish formula,High-strength vitamin and mineral blemish formula that visibly regulates sebum and minimizes pores. This products have NO safety seal.,6,['title: Affordable and Effective Acne Product \ntext: Absolutely amazing product. Have tried many acne products to treat my cystic acne and this one works best for me and at a reasonable price! Highly recommend!!!'],"The product is praised for its effectiveness in treating cystic acne, with the user noting it as the best among many tried options. Additionally, it is highlighted as being affordable, making it a highly recommended choice for those seeking acne treatment [0].",5.75
How effective is the blemish formula,High-strength vitamin and mineral blemish formula that visibly regulates sebum and minimizes pores. This products have NO safety seal.,7,"['title: Worth it \ntext: gets the job done. if you use it twice a day correctly like you’re supposed to, it works']","The product is effective when used correctly twice a day, as it successfully accomplishes its intended purpose [0].",3.75
How effective is the blemish formula,High-strength vitamin and mineral blemish formula that visibly regulates sebum and minimizes pores. This products have NO safety seal.,01,"['title: THIS PRODUCT WORKS GREAT! \ntext: This product is amazing! I used it to see if it would really help with redness and inflammation and it did! It took a few weeks for my skin to get used to the product but it ended up being great! The packaging it came in was absolutely untouched and overall in great condition!', 'title: Actually works \ntext: Check out my before and after pictures. They were taken on day one, three weeks apart, and one year. I used this product twice a day. Not alone though, I used it in conjunction with other ordinary products to reduce redness and pigmentation. I know this product works differently for everyone, however, it worked great for me! It does take time to work, as any skin care product should. Be patient, and CONSISTENT to see results!']","The product has been reported to effectively reduce redness and inflammation, although it may take a few weeks for the skin to adjust to it. Users have noted that it works well when used consistently and in conjunction with other skincare products. The effectiveness can vary among individuals, but patience and regular use are emphasized for achieving desired results [0][1].",5.75
How effective is the blemish formula,High-strength vitamin and mineral blemish formula that visibly regulates sebum and minimizes pores. This products have NO safety seal.,02,"['title: THIS PRODUCT WORKS GREAT! \ntext: This product is amazing! I used it to see if it would really help with redness and inflammation and it did! It took a few weeks for my skin to get used to the product but it ended up being great! The packaging it came in was absolutely untouched and overall in great condition!', 'title: Effective \ntext: Does a great job at keeping my face clear of pimples and evening out my skin tone. My skin is acne prone and get darks marks all the time. Started using this product and things turned around quickly. I will order again.']","The product is reported to be effective in reducing redness and inflammation, with users noting that it took a few weeks for their skin to adjust before seeing positive results [0]. Additionally, it is praised for its ability to clear acne-prone skin and even out skin tone, with users experiencing quick improvements in their skin condition [1].",6.5
