original_query,product_description,subset,comments,summary,avg_score
How’s the quality of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",0,['title: Quality! It very expensive \ntext: Different color nail polishes I used to buy before were much better. Probably this innovative color was kept somewhere too long'],"The user expresses dissatisfaction with the quality of a new nail polish, suggesting that previous products were superior. They speculate that the innovative color may have been stored for too long, potentially affecting its quality [0].",5.0
How’s the quality of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",1,"['title: Good quality \ntext: It’s expensive but if you’re looking for polish that’s better for your nail beds when preventing or treating fungus, it’s worth it. The polish lasts long & it’s creamy hot pink rich color.']","The product is described as expensive but worth the cost due to its benefits for nail health, particularly in preventing or treating fungus. It is noted for its long-lasting quality and rich, creamy hot pink color, indicating a high-quality product.[0]",8.0
How’s the quality of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",2,['title: Good for your nails \ntext: The price is a little high but the product is excellent'],"The product is considered excellent, although it is noted that the price is a bit high [0].",4.0
How’s the quality of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",3,['title: Pretty summer color \ntext: Quality product that helps keeps my nails healthy while making them look good too'],"The product is praised for its quality, as it not only enhances the appearance of nails with a pretty summer color but also contributes to maintaining their health [0].",7.0
How’s the quality of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",4,"[""title: Great Product \ntext: Long lasting, goes on easy. Color pretty close to chart. Wish it was cheaper but would buy again. I'll try a different color next time.""]","The product is praised for its durability and ease of application, with the color being closely aligned with the chart provided. Despite wishing for a lower price, the user expresses satisfaction and willingness to purchase again, indicating a positive perception of the product's quality [0].",8.0
How’s the quality of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",5,"['title: Quality, ok color \ntext: Quality nail polish. Nice coverage with one coat. Color is okay—a little too purple for my taste']","The product is described as having good quality, providing nice coverage with just one coat. However, the color is noted to be a bit too purple for the user's preference [0].",6.0
How’s the quality of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",6,['title: Nice color and quality \ntext: Works and the colors are nice and last a long time. I would compare it to Essie brand as far as quality and color.I started using after I got a toenail fungus from a local upscale spa. GRRR! Podiatrist is who recommended it and I will continue to use.'],"The product is praised for its nice colors and long-lasting quality, comparable to the Essie brand. The user started using it after a recommendation from a podiatrist due to a toenail fungus issue, indicating satisfaction with its performance and quality [0].",8.0
How’s the quality of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",7,['title: the color is not like the image and it looks too cheap for this price \ntext: the color is not like the image and it looks too cheap for this price'],"The product's color does not match the image, and it appears to be of lower quality than expected for its price [0].",4.0
How’s the quality of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",01,"['title: Quality! It very expensive \ntext: Different color nail polishes I used to buy before were much better. Probably this innovative color was kept somewhere too long', 'title: Good quality \ntext: It’s expensive but if you’re looking for polish that’s better for your nail beds when preventing or treating fungus, it’s worth it. The polish lasts long & it’s creamy hot pink rich color.']","The quality of the nail polish is considered good, as it is beneficial for nail health, particularly in preventing or treating fungus. Despite its high cost, the polish is valued for its long-lasting nature and rich, creamy hot pink color, making it worth the investment for some users [1]. However, there are concerns about the quality of the innovative color, as it may have been stored for too long, leading to a decline in performance compared to previous purchases [0].",8.0
How’s the quality of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",02,"['title: Quality! It very expensive \ntext: Different color nail polishes I used to buy before were much better. Probably this innovative color was kept somewhere too long', 'title: Good for your nails \ntext: The price is a little high but the product is excellent']","The quality of the nail polish is perceived as inferior compared to previous purchases, possibly due to the product being stored for too long, which may have affected its performance [0]. Despite the high price, the product is considered excellent, indicating a positive assessment of its quality [1].",5.0
