original_query,product_description,subset,comments,summary,avg_score
What’s the quality of the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",0,['title: quality made \ntext: The quality of the crown was much better that I had imagined it would be for the price.'],"The quality of the crown exceeded expectations, especially considering its price point, indicating a high level of craftsmanship and value for money [0].",5.0
What’s the quality of the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",1,['title: Yes!!!! \ntext: Wow!!! I was really surprised by the quality of the product. The crown is well made!!'],"The user expressed surprise and satisfaction with the quality of the product, specifically noting that the crown is well made [0].",4.0
What’s the quality of the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",2,['title: Quality is perfect \ntext: Perfect for my daughters costume! Its perfect for quality on all levels for me. Its heavier than a cheap one so it makes it valuable!'],"The product is praised for its quality, being described as perfect on all levels. It is noted to be heavier than cheaper alternatives, which adds to its perceived value [0].",6.0
What’s the quality of the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",3,['title: BEST QUALITY \ntext: This item was worth the $.  Its beautiful. Lots of BLING!'],"The product is described as being worth the price, with a beautiful appearance and a lot of 'bling', indicating high quality and aesthetic appeal [0].",5.0
What’s the quality of the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",4,"['title: Great quality \ntext: Using this for a photo shoot, it is beautiful very good quality and has some weight to it.']","The product is described as having great quality, being both beautiful and substantial in weight, which makes it suitable for use in a photo shoot [0].",6.0
What’s the quality of the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",5,"['title: Quality \ntext: Beautify and heavy, just a little small for women, but for girls is perfect']","The product is described as beautiful and heavy, which suggests a high-quality build. However, it may be slightly small for women, though it is considered perfect for girls [0].",5.0
What’s the quality of the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",6,"[""title: Made with quality. \ntext: It showed up on time and looks amazing. Not cheap plastic like at the stores. Was metal and heavy but not to heavy. It sparkles in the light and can't wait to wear it at my wedding""]","The product is described as being made with high-quality materials, as it is not made from cheap plastic but rather metal, which gives it a substantial yet manageable weight. The item also has an appealing appearance, as it sparkles in the light, indicating a high level of craftsmanship and aesthetic appeal [0].",7.0
What’s the quality of the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",7,"[""title: Good quality. \ntext: I got this for prom. It has a weight to it. It doesn't look cheap and its very good for its price.""]","The product is described as having good quality, with a substantial weight that prevents it from looking cheap, making it a great value for its price [0].",5.0
What’s the quality of the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",01,"['title: quality made \ntext: The quality of the crown was much better that I had imagined it would be for the price.', 'title: Yes!!!! \ntext: Wow!!! I was really surprised by the quality of the product. The crown is well made!!']","The comments highlight a positive perception of the product's quality, specifically noting that the crown exceeded expectations given its price. Customers expressed surprise and satisfaction with the craftsmanship, indicating that the crown is well made and offers good value for money [0][1].",5.0
What’s the quality of the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",02,"['title: quality made \ntext: The quality of the crown was much better that I had imagined it would be for the price.', 'title: Quality is perfect \ntext: Perfect for my daughters costume! Its perfect for quality on all levels for me. Its heavier than a cheap one so it makes it valuable!']","The quality of the crown exceeded expectations, especially considering its price, indicating a high value for money [0]. Additionally, the crown was described as perfect for a costume, with its weight contributing to its perceived value and quality [1].",6.0
What’s the quality of the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",03,"['title: quality made \ntext: The quality of the crown was much better that I had imagined it would be for the price.', 'title: BEST QUALITY \ntext: This item was worth the $.  Its beautiful. Lots of BLING!']","The comments highlight the high quality of the product, with one user expressing surprise at the superior quality of the crown given its price, indicating that it exceeded their expectations [0]. Another user emphasizes the product's value for money, describing it as beautiful and full of 'bling,' suggesting that the quality justifies the cost [1].",5.25
