original_query,product_description,subset,comments,summary,avg_score
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,0,['title: Fast delivery \ntext: The E-Card came through right away. Would def recommend for last minute gift needed in a hurry!'],"The comment highlights the fast delivery speed of the E-Card, noting that it was received immediately, making it a recommended option for last-minute gifts needed quickly [0].",8.0
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,1,['title: Digital cards are the way to go! \ntext: I like how this order is delivered digitally and very quickly.'],"The comment highlights the advantage of digital cards, emphasizing their quick delivery speed, which is appreciated by the user [0].",7.0
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,2,['title: Great business \ntext: Card comes in the moment I purchase every time with no hesitation'],"The comment highlights the prompt delivery speed of the card, noting that it arrives immediately upon purchase without any delay [0].",8.0
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,3,"[""title: Digital Card \ntext: I don't know how to get it to my grandson since I bought it for him.""]",[0] is not related to the query.,0.0
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,4,['title: Convenient \ntext: Saves gas and time from going to store to purchase card'],[0] is not related to the query.,0.0
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,5,['title: Great way to buy cards \ntext: Paid for card went to email my grandson downloaded card info was playing within fie minutes of innitiation of purchase'],"The delivery speed of the card was very fast, as the card information was available for download and use within five minutes of the purchase initiation [0].",8.0
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,6,"['title: Digital Only gift card \ntext: I thought I would receive a gift card, rather than a digital card']",[0] is not related to the query.,0
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,7,['title: Misleading \ntext: I wanted a card my grandson could open in an envelope.'],[0] is not related to the query.,0
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,8,['title: Happy Child!! \ntext: Easy access to a card to make an child happy 😃'],[0] is not related to the query.,0
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,9,['title: Quick and easy \ntext: Forgot to purchase card at store so purchased on Amazon. I received the activation code via email within 5 minutes'],"The comment highlights the quick delivery speed of the card's activation code when purchased on Amazon, as the user received it via email within 5 minutes [0].",8.0
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,01,"['title: Fast delivery \ntext: The E-Card came through right away. Would def recommend for last minute gift needed in a hurry!', 'title: Digital cards are the way to go! \ntext: I like how this order is delivered digitally and very quickly.']","The delivery speed of the card is highly praised, with users noting that the E-Card was delivered immediately, making it an excellent option for last-minute gifts [0][1].",8.5
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,02,"['title: Fast delivery \ntext: The E-Card came through right away. Would def recommend for last minute gift needed in a hurry!', 'title: Great business \ntext: Card comes in the moment I purchase every time with no hesitation']","The comments highlight the prompt delivery speed of the E-Card, with users noting that the card is received immediately upon purchase, making it an ideal option for last-minute gifts. One user specifically recommends it for urgent gifting needs due to its instant delivery [0][1].",9.0
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,03,"['title: Fast delivery \ntext: The E-Card came through right away. Would def recommend for last minute gift needed in a hurry!', ""title: Digital Card \ntext: I don't know how to get it to my grandson since I bought it for him.""]","The delivery speed of the E-Card is very fast, as it was received immediately, making it highly recommended for last-minute gifts needed urgently [0]. [1] is not related to the query.",8.0
The Delivery Speed of the Card,Redeem against anything on PlayStation Store.,04,"['title: Fast delivery \ntext: The E-Card came through right away. Would def recommend for last minute gift needed in a hurry!', 'title: Convenient \ntext: Saves gas and time from going to store to purchase card']","The delivery speed of the E-Card is notably fast, as it was received immediately, making it a highly recommended option for those in need of a last-minute gift solution [0]. [1] is not related to the query.",8.0
