original_query,product_description,subset,comments,summary,avg_score
How good is the quality of the headbands,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,0,"[""title: Quality product \ntext: I bought this for my granddaughters second birthday.  Haven't used them yet, but the quality looks good.""]","The user purchased the product for their granddaughter's second birthday and, although it has not been used yet, they noted that the quality appears to be good based on initial inspection [0].",2.0
How good is the quality of the headbands,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,1,['title: Great Product \ntext: great product came in time and good quality.  Most of all the kids loved it.'],"The product is described as having good quality, arriving on time, and being well-received by children, indicating a positive overall experience with its quality [0].",3.0
How good is the quality of the headbands,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,2,"[""title: Surprised by the quality \ntext: I bought these for my nephew's birthday party and I wasn't expecting much as it was just for that day. But I was surprised by the quality of this product. The material is soft and the finishing is very nice too. None of them were defective and it's something the kids can continue to wear after the party because it is a good material.""]","The user was pleasantly surprised by the quality of the product, which was initially purchased for a one-time event. The material is described as soft with a nice finish, and there were no defects. The product's quality is high enough that it can be used beyond the initial intended use, as it is made from good material [0].",5.75
How good is the quality of the headbands,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,3,"['title: Worth the price \ntext: Worth the price for the quality and quantity of the product, used it for my little girl’s birthday party. It’s fits very well. Packaging is good. No damage. Will surely recommend.']","The product is considered worth the price due to its quality and quantity, making it suitable for events such as a child's birthday party. It fits well, and the packaging is effective, with no damage reported. The user expresses a willingness to recommend the product based on these attributes [0].",6.25
How good is the quality of the headbands,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,4,"[""title: Quality is Great \ntext: Great quality! Can't wait to add to our FE gifts for Pirate Night!""]","The product is praised for its great quality, making it a desirable addition to themed gifts for events such as Pirate Night. [0]",3.75
How good is the quality of the headbands,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,5,"['title: Great quality \ntext: They look great, as we some quality, and the kids loved them']","The product is praised for its great appearance and quality, and it was well-received by children, indicating satisfaction with its quality. [0]",4.25
How good is the quality of the headbands,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,6,['title: Great product for price! \ntext: Bought these for a birthday and was impressed with the quality and appearance!'],"The product is praised for its quality and appearance, making it a great purchase for the price [0].",4.0
How good is the quality of the headbands,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,7,['title: Love this product \ntext: It was a favorite among old and young at my 1 year olds birthday! The material is a velvet quality and I will buy this again'],"The product is highly appreciated for its velvet quality material, making it a favorite among both old and young attendees at a one-year-old's birthday party. The user expresses a strong intention to purchase the product again, indicating satisfaction with its quality [0].",5.25
How good is the quality of the headbands,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,01,"[""title: Quality product \ntext: I bought this for my granddaughters second birthday.  Haven't used them yet, but the quality looks good."", 'title: Great Product \ntext: great product came in time and good quality.  Most of all the kids loved it.']","The product is praised for its good quality, with one user noting that although they haven't used it yet, it appears to be well-made [0]. Another user confirms the product's good quality and mentions that it was well-received by children, indicating satisfaction with its performance [1].",4.0
How good is the quality of the headbands,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,02,"[""title: Quality product \ntext: I bought this for my granddaughters second birthday.  Haven't used them yet, but the quality looks good."", ""title: Surprised by the quality \ntext: I bought these for my nephew's birthday party and I wasn't expecting much as it was just for that day. But I was surprised by the quality of this product. The material is soft and the finishing is very nice too. None of them were defective and it's something the kids can continue to wear after the party because it is a good material.""]","The product appears to be of good quality, as noted by a customer who purchased it for their granddaughter's birthday. Although they have not yet used it, the initial impression of the quality is positive [0]. Another customer was pleasantly surprised by the quality, having initially low expectations for a birthday party purchase. They found the material to be soft with a nice finish, and noted that none of the items were defective. The product's quality allows it to be used beyond the party, indicating its durability and good material [1].",5.75
