original_query,product_description,subset,comments,summary,avg_score
What size is the scalp massager,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",0,"['title: great \ntext: very good product kind of hard to hold, i recommend putting your fingers through the handle instead of holding it by the handle']","The comment highlights that the product is somewhat difficult to hold due to its size, suggesting that users should put their fingers through the handle for a better grip rather than holding it by the handle itself [0].",5.0
What size is the scalp massager,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",1,['title: It works \ntext: It works well and seems like a good product for the price'],[0] is not related to the query.,0.0
What size is the scalp massager,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",2,['title: Great product \ntext: Love how easy this is to use! Feels great! Gave as stocking stuffers'],[0] is not related to the query.,0.0
What size is the scalp massager,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",3,['title: Only recieved one \ntext: Good product but I only recieved one and there was supposed to be two'],[0] is not related to the query.,0.0
What size is the scalp massager,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",4,['title: Great Product \ntext: Really like this product. Does an amazing job when washing and conditioning my hair. Great scalp/head massager without being rough. Would definitely recommend.'],[0] is not related to the query.,0.0
What size is the scalp massager,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",5,['title: Good purchase \ntext: Really good product: it’s soft and firm at the same time and cleans the scalp really well!'],[0] is not related to the query.,0.0
What size is the scalp massager,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",6,['title: Not for me ! \ntext: I think this is a good product but it didn’t feel good to me. I didn’t feel relax or anything like that and I felt like my hair tangle a lot after I used this product. also it was a little hard to hold it when it had shampoo all over.'],[0] is not related to the query.,0.0
What size is the scalp massager,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",7,"[""title: Good \ntext: Good product, doesn't tangle my hair and makes my scalp feel cleaner""]",[0] is not related to the query.,0.0
What size is the scalp massager,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",01,"['title: great \ntext: very good product kind of hard to hold, i recommend putting your fingers through the handle instead of holding it by the handle', 'title: It works \ntext: It works well and seems like a good product for the price']","The comment mentions that the product is somewhat difficult to hold, suggesting that users should put their fingers through the handle rather than holding it by the handle, which implies that the size or design of the handle might not be optimal for easy gripping [0]. [1] is not related to the query.",6.0
What size is the scalp massager,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",02,"['title: great \ntext: very good product kind of hard to hold, i recommend putting your fingers through the handle instead of holding it by the handle', 'title: Great product \ntext: Love how easy this is to use! Feels great! Gave as stocking stuffers']","The comment mentions that the product is somewhat difficult to hold, suggesting that users should put their fingers through the handle rather than holding it by the handle, which implies that the size or design of the handle might not be optimal for easy gripping [0]. [1] is not related to the query.",6.0
