legacy_query_id,original_distance_matrix,original_coalition_csv,verified_coalition_rows,match_method,purpose,embedding_model_in_source,embedding_dimensions_in_source,embedded_text_in_source,generating_source,matrix_shape
0,others/output/individual_matrices/query_0_distance_matrix.npy,code and data/shapley_final/Shapley_comfort of the product_headbands.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
1,others/output/individual_matrices/query_1_distance_matrix.npy,code and data/shapley_final/Shapley_Stretchability of the product_headwrap.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
2,others/output/individual_matrices/query_2_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_dental_tool.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
3,others/output/individual_matrices/query_3_distance_matrix.npy,code and data/shapley_final/Shapley_comfort of the product_headset.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
4,others/output/individual_matrices/query_4_distance_matrix.npy,code and data/shapley_final/Shapley_size of the product_Massager_Scalp .csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
5,others/output/individual_matrices/query_5_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_headwrap.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
6,others/output/individual_matrices/query_6_distance_matrix.npy,code and data/shapley_final/Shapley_quality of the product_facial_wipes.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
7,others/output/individual_matrices/query_7_distance_matrix.npy,code and data/shapley_final/Shapley_Multiplayer capability of the product_Super_Mario_3D.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
8,others/output/individual_matrices/query_8_distance_matrix.npy,code and data/shapley_final/Shapley_healing property of the product_Gauge_Gear .csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
9,others/output/individual_matrices/query_9_distance_matrix.npy,code and data/shapley_final/Shapley_practice braiding with the product_mannequin.csv,255,"Exact full (subset, summary, numeric avg_score) signature; unique match across all 48 games",Lipschitz assumption check only; NOT main benchmark clustering,text-embedding-3-small,256,Singleton summaries in document index order 0 through 7,"others/old_notebooks/assumption_check.ipynb, code cell 0",8x8
