original_query,product_description,subset,comments,summary,avg_score
How's the durability of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",0,['title: A+ \ntext: The polish stays on for a long time.  Great product that I would recommend.  Little pricey but worth the money.'],"The comment highlights the durability of the product, noting that the polish stays on for a long time, which suggests it is a durable product worth recommending despite its higher price point [0].",5.0
How's the durability of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",1,"[""title: Strong and Beautiful \ntext: I'm blown away by how this product was able to hold up to the abuse I put it through, as a martial artist.  Plus, it's healthier for my nails.Advantages:-Great for nail health.-Amazingly durable.-Short drying time.-Gorgeous color (if you take time to mix a couple of shades together) with a nice shine.-Dr.'s Remedy nail polish remover works surprisingly well, and requires very little to do the job.Drawbacks:-Very expensive. ...very expensive. Minus one star for extremely high price.-Colors aren't exactly what I want, so I had to buy several shades and mix them to get a nice color. (yet another blow to my wallet.)The drying time for this polish is short and durability is incredible. I am able to kick targets with my beautifully painted toenails about 45 minutes after applying all of these coats. The only other brand that has held up to this kind of abuse that I've tried is Sally Hansen, but Sally Hansen is not as good for nail health and required at least a day of curing time before kicking targets, plus it would rub off on the targets. Dr.'s Remedy doesn't rub off.I use the base coat, then nail color, then top coat...yes, at around $17 per bottle, it was a ton of money to spend on something I was uncertain of.I remove this polish after a week, and allow at least a day of rest for my nails.""]","The product is praised for its exceptional durability, particularly in the context of martial arts activities, where it withstands significant physical stress without chipping or rubbing off. Users report that it allows for activities such as kicking targets shortly after application, which is a testament to its robustness compared to other brands like Sally Hansen, which require longer curing times and are less durable under similar conditions. Despite its high cost, the product's durability and additional benefits for nail health make it a preferred choice for those needing a resilient nail polish [0].",9.0
How's the durability of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",2,['title: Amazing!! \ntext: This polish holds up better than the polish my nail salon uses. I’m still waiting to see what my nails look like at the end of summer . But as far a durability you can’t beat it!'],"The user praises the durability of the polish, stating that it holds up better than the polish used at their nail salon. They express confidence in its durability, suggesting that it is unmatched in this regard [0].",6.0
How's the durability of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",3,"[""title: Great Product \ntext: Long lasting, goes on easy. Color pretty close to chart. Wish it was cheaper but would buy again. I'll try a different color next time.""]","The product is described as long-lasting, indicating its durability. The user appreciates its ease of application and notes that the color closely matches the chart, although they wish it were cheaper. Despite the price, they express willingness to purchase it again, suggesting satisfaction with its durability [0].",5.25
How's the durability of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",4,"[""title: Staying power \ntext: I wasn't sure if this would chip or not but it went on smoothly and stayed on until I removed it.  I am used to using OPI and this was up to par in my opinion.  I am treating my nails for fungus, so I will be using this polish throughout.""]","The product demonstrated impressive durability as it did not chip and remained intact until it was intentionally removed, comparable to the user's experience with OPI products [0].",6.25
How's the durability of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",5,"['title: Last long \ntext: I like the color, it’s a good solid pink not an Icey pink . The color last on my toes long and the polish has a nice shine to it so it can pass as salon nail polish. I felt when I removed the polish my toenails , the nails seemed in good condition still unlike when I have used other products that are drying and hard to remove.']","The product is noted for its durability, as the color lasts a long time on the user's toenails and maintains a nice shine, comparable to salon nail polish. Additionally, the removal process does not damage the nails, unlike other products that can be drying and difficult to remove [0].",6.75
How's the durability of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",6,"['title: long lasting and great value \ntext: great for nails with fungus  in the summer so you can wear sandals,  could not be more pleased salmon colored not too orange  and not thin like other polishes, i use the drs top/base coat for the best shine. It lasts well over 2 weeks!']","The product is praised for its durability, as it lasts well over two weeks when used with a top/base coat, making it a great value for those looking for long-lasting nail polish [0].",6.75
How's the durability of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",7,"['title: Product as advertized \ntext: After having a nail fungus taking over 6 months to heal, I will use nothing but dermatologist reccommend tie nail polish. Note: this type of polish is designed to let your toenail breathe vs seal off your toenail (which can cause fungus). Because of this, the polish may not last as long as regular polish.']",[0] is not related to the query.,0.0
How's the durability of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",01,"['title: A+ \ntext: The polish stays on for a long time.  Great product that I would recommend.  Little pricey but worth the money.', ""title: Strong and Beautiful \ntext: I'm blown away by how this product was able to hold up to the abuse I put it through, as a martial artist.  Plus, it's healthier for my nails.Advantages:-Great for nail health.-Amazingly durable.-Short drying time.-Gorgeous color (if you take time to mix a couple of shades together) with a nice shine.-Dr.'s Remedy nail polish remover works surprisingly well, and requires very little to do the job.Drawbacks:-Very expensive. ...very expensive. Minus one star for extremely high price.-Colors aren't exactly what I want, so I had to buy several shades and mix them to get a nice color. (yet another blow to my wallet.)The drying time for this polish is short and durability is incredible. I am able to kick targets with my beautifully painted toenails about 45 minutes after applying all of these coats. The only other brand that has held up to this kind of abuse that I've tried is Sally Hansen, but Sally Hansen is not as good for nail health and required at least a day of curing time before kicking targets, plus it would rub off on the targets. Dr.'s Remedy doesn't rub off.I use the base coat, then nail color, then top coat...yes, at around $17 per bottle, it was a ton of money to spend on something I was uncertain of.I remove this polish after a week, and allow at least a day of rest for my nails.""]","The product is praised for its exceptional durability, with one user noting that it withstands significant physical activity, such as martial arts, without chipping or rubbing off. This durability is highlighted as superior to other brands like Sally Hansen, which require longer curing times and are less resilient under similar conditions. The polish maintains its integrity even after rigorous use, making it a reliable choice for those seeking long-lasting wear [1]. [0] is not related to the query.",9.0
How's the durability of the nail polish,"Available in a kaleidoscope of over 40 vibrant shades and enriched with nourishing natural actives like , tea-tree oil, garlic bulb extract, lavender, wheat protein and , Dr.’s Remedy combines the best of beauty and science to create a non-toxic collection of polishes that are as gentle on nails as they are on the world around us.",02,"['title: A+ \ntext: The polish stays on for a long time.  Great product that I would recommend.  Little pricey but worth the money.', 'title: Amazing!! \ntext: This polish holds up better than the polish my nail salon uses. I’m still waiting to see what my nails look like at the end of summer . But as far a durability you can’t beat it!']","The product is praised for its durability, with one user noting that the polish stays on for a long time and is worth the price despite being a bit expensive [0]. Another user highlights that the polish holds up better than the one used at their nail salon, emphasizing its superior durability [1].",6.75
