original_query,product_description,subset,comments,summary,avg_score
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",0,"['title: Great Quality! \ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.']",[0] is not related to the query.,0.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",1,"['title: Great product! \ntext: When I was finally able to get one, I had no complaints.']","The user expresses satisfaction with the product, stating that they had no complaints after acquiring it, indicating a positive perception of its quality [0].",3.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",2,"['title: Satisfied \ntext: Got the product the very next day , super good experience']",[0] is not related to the query.,0.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",3,['title: brand new \ntext: this product was brand new and had no issues with it.'],"The product was brand new and had no issues, indicating a high level of quality [0].",3.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",4,"['title: Great quality and design \ntext: Honestly, it’s worth it. Everything about the disc edition Ps5 is great, from design, quality to gameplay and even main menu. The one thing I would say that is annoying is the size of the storage since nowadays a lot of games need up to 500gb (call of duty) to install . Come on Sony why not go all the way to 1TB!']","The disc edition PS5 is praised for its great design and quality, contributing to an overall positive experience in terms of gameplay and user interface. However, there is a noted drawback regarding the storage capacity, as many modern games require substantial space, up to 500GB, which makes the current storage size insufficient. The suggestion is made for Sony to increase the storage to 1TB to better accommodate these needs [0].",9.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",5,['title: Unsatisfactory \ntext: Trying to get this product is harder than getting tickets to San Diego comic con. I should not have to go through so much time effort and stress like a performing monkey in order to buy something.'],[0] is not related to the query.,0.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",6,['title: Fresh. \ntext: Got mine in less than a week. Was expecting 2 weeks. Came in fresh condition. Great product.'],[0] is not related to the query.,0.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",7,['title: Love it! \ntext: Amazing product. Its a truly special experience when you have this and a great display to play on.'],"The product is described as amazing, providing a truly special experience when used with a great display, indicating high quality and user satisfaction [0].",3.75
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",01,"['title: Great Quality! \ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.', 'title: Great product! \ntext: When I was finally able to get one, I had no complaints.']","The user expressed satisfaction with the product, stating that they had no complaints once they were able to obtain it, indicating a positive perception of its quality [0]. [0] is not related to the query.",3.0
How’s the quality of this product,"The PS5 console unleashes new gaming possibilities that you never anticipated. Experience lightning fast loading with an ultra-high speed SSD, deeper immersion with support for haptic feedback, adaptive triggers, and 3D Audio, and an all-new generation of incredible PlayStation games.",02,"['title: Great Quality! \ntext: The delivery was awesome! and it came fast, there were no scratches or missing cords it was in good condition.', 'title: Satisfied \ntext: Got the product the very next day , super good experience']",[0] is not related to the query. [1] is not related to the query.,0.0
