original_query,product_description,subset,comments,summary,avg_score
How is the quality of the hair brush,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",0,['title: Quality Product \ntext: This brush is beautifully made and will definitely stimulate the scalp when used.  I am very happy with it.  I also went ahead and ordered the Argan oil from this company because the quality of the brush lets me know that the oil will also be top quality.'],"The brush is described as beautifully made and effective in stimulating the scalp, indicating high quality. The positive experience with the brush has led the user to trust the company's other products, such as their Argan oil, suggesting a perception of consistent quality across their offerings [0].",5.25
How is the quality of the hair brush,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",1,['title: Professional quality. \ntext: Professional quality. Very pleased. Especially because it is good enough to recommend and use on clients.'],"The product is described as having professional quality, which has left the user very pleased. It is considered good enough to recommend and use on clients, indicating a high level of satisfaction with its quality [0].",4.25
How is the quality of the hair brush,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",2,"[""title: Great product \ntext: The quality of the bristle is excellent. It's a great brush. The only issue I have is that it has a strong, almost smoky, smell. I only just got it, so I'm hoping it will fade.""]","The product is praised for its excellent bristle quality, indicating it is a great brush. However, there is a concern about a strong, smoky smell, which the user hopes will fade over time [0].",5.0
How is the quality of the hair brush,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",3,['title: Good product \ntext: Good quality. Love the look of the brush. Effective for brushing long hair.'],"The product is praised for its good quality and effectiveness in brushing long hair, with an appealing design that users appreciate [0].",4.25
How is the quality of the hair brush,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",4,['title: Top quality hair brush \ntext: Very satisfied with this product.  Excellent quality and very elegant looking.'],"The user expresses high satisfaction with the hair brush, highlighting its excellent quality and elegant appearance [0].",4.0
How is the quality of the hair brush,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",5,"['title: Four Stars \ntext: Sturdy mounting of the boar bristles, good finish on the brush, comfortable to hold - good quality product']","The product is praised for its sturdy mounting of boar bristles, good finish, and comfortable grip, indicating it is of good quality [0].",5.0
How is the quality of the hair brush,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",6,['title: JUNK1 \ntext: the worst product I have ever bought from Amazon. Bristle were smashed. not much quality'],"The product has been described as the worst purchase made from Amazon, with complaints about the bristles being smashed and a general lack of quality [0].",3.0
How is the quality of the hair brush,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",7,"[""title: Quality Brush \ntext: The brush is solid and we'll made. I guess the only complaint is the price...way over priced.""]","The brush is described as solid and well-made, indicating a high quality of construction. However, there is a complaint about the product being overpriced, which may affect its perceived value despite its quality [0].",4.0
How is the quality of the hair brush,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",01,"['title: Quality Product \ntext: This brush is beautifully made and will definitely stimulate the scalp when used.  I am very happy with it.  I also went ahead and ordered the Argan oil from this company because the quality of the brush lets me know that the oil will also be top quality.', 'title: Professional quality. \ntext: Professional quality. Very pleased. Especially because it is good enough to recommend and use on clients.']","The product is praised for its high quality, with one user noting that the brush is beautifully made and effectively stimulates the scalp, leading to satisfaction with the purchase and confidence in the company's other products, such as their Argan oil [0]. Another user describes the product as having professional quality, expressing satisfaction and willingness to recommend it for use on clients [1].",6.25
How is the quality of the hair brush,"['REDUCE FRIZZ: As you brush, oils from your hair are spread around to lubricate each hair strand', 'STIMULATES SCALP: Brushing your hair with boar bristles massages the scalp and stimulates blood flow', 'PREVENTS OIL BUILD-UP: Boar bristle brushes help to distribute oil from your roots to your ends.', 'NATURALLY CONDITIONS HAIR: The oil that is spread helps to repair dry hair and adds volume and shine.', 'LOVE IT OR YOUR MONEY BACK: Not 110% thrilled with your purchase? Let us know and we’ll make it right!']",02,"['title: Quality Product \ntext: This brush is beautifully made and will definitely stimulate the scalp when used.  I am very happy with it.  I also went ahead and ordered the Argan oil from this company because the quality of the brush lets me know that the oil will also be top quality.', ""title: Great product \ntext: The quality of the bristle is excellent. It's a great brush. The only issue I have is that it has a strong, almost smoky, smell. I only just got it, so I'm hoping it will fade.""]","The product is praised for its high quality, with one user noting that the brush is beautifully made and effectively stimulates the scalp, leading them to trust the brand's other products, such as their Argan oil, to be of similar quality [0]. Another user highlights the excellent quality of the bristles, although they mention a strong, smoky smell that they hope will dissipate over time [1].",6.25
