original_query,product_description,subset,comments,summary,avg_score
How’s the quality of this product,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",0,"[""title: Good \ntext: Good product, doesn't tangle my hair and makes my scalp feel cleaner""]","The product is praised for its quality, as it effectively prevents hair tangling and leaves the scalp feeling cleaner [0].",5.0
How’s the quality of this product,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",1,['title: It works \ntext: It works well and seems like a good product for the price'],The product is described as working well and being a good value for the price [0].,4.0
How’s the quality of this product,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",2,"['title: Great quality for the price \ntext: I was worried about quality for the price, but I am really impressed! I love mine.']","The user expressed initial concerns about the quality of the product given its price, but ultimately found it to be impressive and satisfactory, indicating a positive perception of the product's quality [0].",5.0
How’s the quality of this product,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",3,"['title: great \ntext: very good product kind of hard to hold, i recommend putting your fingers through the handle instead of holding it by the handle']","The product is described as very good, although it is somewhat difficult to hold. It is recommended to put fingers through the handle rather than holding it by the handle for better grip [0].",4.75
How’s the quality of this product,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",4,['title: Helps with dry winter scalp! \ntext: The product is great quality and seems pretty sturdy. The scrubby feels soft but is firm enough to get a good scrub going on :) I noticed help with dry skin and dandruff after just one use.'],"The product is described as being of great quality and sturdy construction. It features a scrubby that is both soft and firm, providing an effective scrub. Users have noticed improvements in dry skin and dandruff after just one use, indicating its effectiveness in addressing scalp issues during winter [0].",7.75
How’s the quality of this product,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",5,['title: Feels great \ntext: I have only used this once but so far I really liked it! It felt nice and worked well.  I am hopeful that it is good quality and lasts a long time.'],"The user has only used the product once but reports a positive initial experience, noting that it felt nice and worked well. They express hope that the product is of good quality and will last a long time. [0]",4.0
How’s the quality of this product,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",6,['title: Great Product \ntext: Really like this product. Does an amazing job when washing and conditioning my hair. Great scalp/head massager without being rough. Would definitely recommend.'],"The product is praised for its effectiveness in washing and conditioning hair, as well as its gentle yet effective scalp massaging capabilities, making it highly recommendable [0].",6.75
How’s the quality of this product,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",7,['title: Great value great product \ntext: This is such a great deal for a pack of two. I had originally bought a different brand that was more expensive but in comparison these are just as great. The bristles are stiff enough to actually make it feel like youre giving yourself a scalp massage during shower. Colors are vibrant and cute!'],"The product offers great value as a pack of two, providing a cost-effective alternative to more expensive brands while maintaining quality. The bristles are described as stiff enough to provide a scalp massage sensation during use, and the colors are noted to be vibrant and appealing [0].",6.75
How’s the quality of this product,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",01,"[""title: Good \ntext: Good product, doesn't tangle my hair and makes my scalp feel cleaner"", 'title: It works \ntext: It works well and seems like a good product for the price']","The product is praised for its ability to prevent hair tangling and for making the scalp feel cleaner, indicating a positive impact on hair quality and hygiene [0]. Additionally, it is considered effective and a good value for the price, suggesting satisfaction with its performance and cost-effectiveness [1].",6.0
How’s the quality of this product,"['▶ Improve Blood Circulation, Massager Scalp - Chialstar scalp massager provides gentle stimulation to increase the blood circulation for daily health care with comfortable and relaxing feeling. Massage your scalp, neck or body, relieving fatigue, pressure and muscles sore. Strengthen the roots of your hair and nourish the hair shafts.', '▶ Powerful Cleaning Ability - Using this shampoo brush to clean hair, or shower, your scalp will feel so much cleaner in the shower, good to remove dandruff and remove hardened sebum & dirt. What’s more it prevents hair loss by scalp stimulation and help to hair growth.', ""▶ Soft Silicone - The scalp brush is made of silicon, soft enough to use for kids, very gentle, doesn't irritate your scalp at all, sturdy, will not deformated. No need to worry about your long nails or sensitive scalp."", '▶ Works for Any Hair Texture - Scalp hair brush works appropriate for all types of hair, including dense, thick, coarse or curly hair. Manual with no battery required and Waterproof.', '▶ Refund And Warranty - Get two scalp massager for hair growth and start your scalp salon，1 years money back guarantee. If you have any question, send email to us, we will reply in 24 hours.']",02,"[""title: Good \ntext: Good product, doesn't tangle my hair and makes my scalp feel cleaner"", 'title: Great quality for the price \ntext: I was worried about quality for the price, but I am really impressed! I love mine.']","The product is praised for its quality, as it effectively prevents hair tangling and leaves the scalp feeling cleaner, which indicates a positive user experience regarding its performance [0]. Additionally, the product is noted for offering great quality relative to its price, surpassing initial expectations and leaving the user impressed [1].",6.0
