original_query,product_description,subset,comments,summary,avg_score
How’s the quality of this product,"TOUSLED WAVES AND TEMPTING TEXTURE. Give your hair big and beautiful, wavy texture with the Bed Head Curve Check Tourmaline Ceramic Styling Iron. This easy-to-use wand will have you turning heads in tousled, touchable texture. The unique, bead-shaped barrel was designed for versatility to deliver different types of texture-- loose tousled curls AND waves. High Heat up to 400° F quickly locks in the curl with a clamp-free wrap-and-go design that leaves no creases behind and a natural-looking finish. Tourmaline Ceramic helps to reduce frizz and lock in shine for amazing body throughout. The Bed Head Curve Check Tourmaline Ceramic Styling Iron also comes with a Bonus Heat-protective Glove and a Tangle-Free Swivel Cord that make it easy to style with. Dual Voltage for worldwide use means you can take this baby with you anywhere you go. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. Clamp free wrap and go design",0,['title: Great product and quality. \ntext: Everything about this curler is great compared to other high end ones. Make the purchase I recommend. Curls last a long time.'],"The curler is praised for its superior quality compared to other high-end options, with long-lasting curls being a notable feature. The user recommends purchasing it due to its excellent performance [0].",5.0
How’s the quality of this product,"TOUSLED WAVES AND TEMPTING TEXTURE. Give your hair big and beautiful, wavy texture with the Bed Head Curve Check Tourmaline Ceramic Styling Iron. This easy-to-use wand will have you turning heads in tousled, touchable texture. The unique, bead-shaped barrel was designed for versatility to deliver different types of texture-- loose tousled curls AND waves. High Heat up to 400° F quickly locks in the curl with a clamp-free wrap-and-go design that leaves no creases behind and a natural-looking finish. Tourmaline Ceramic helps to reduce frizz and lock in shine for amazing body throughout. The Bed Head Curve Check Tourmaline Ceramic Styling Iron also comes with a Bonus Heat-protective Glove and a Tangle-Free Swivel Cord that make it easy to style with. Dual Voltage for worldwide use means you can take this baby with you anywhere you go. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. Clamp free wrap and go design",1,['title: Four Stars \ntext: Very good product with affordable price. You have to wear the glove or you will burn yourself'],"The product is described as very good and affordable, but it requires caution as users need to wear gloves to avoid burns [0].",4.0
How’s the quality of this product,"TOUSLED WAVES AND TEMPTING TEXTURE. Give your hair big and beautiful, wavy texture with the Bed Head Curve Check Tourmaline Ceramic Styling Iron. This easy-to-use wand will have you turning heads in tousled, touchable texture. The unique, bead-shaped barrel was designed for versatility to deliver different types of texture-- loose tousled curls AND waves. High Heat up to 400° F quickly locks in the curl with a clamp-free wrap-and-go design that leaves no creases behind and a natural-looking finish. Tourmaline Ceramic helps to reduce frizz and lock in shine for amazing body throughout. The Bed Head Curve Check Tourmaline Ceramic Styling Iron also comes with a Bonus Heat-protective Glove and a Tangle-Free Swivel Cord that make it easy to style with. Dual Voltage for worldwide use means you can take this baby with you anywhere you go. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. Clamp free wrap and go design",2,"['title: Very good product \ntext: So quick and easy to use. Curls are beautiful and last all day, which surprised me as someone with fine/thin hair that everything loses hold after an hour']","The product is praised for its ease of use and effectiveness, particularly in creating long-lasting curls. Users with fine or thin hair, who typically experience difficulty in maintaining curls, found that this product exceeded their expectations by keeping curls intact throughout the day [0].",7.0
How’s the quality of this product,"TOUSLED WAVES AND TEMPTING TEXTURE. Give your hair big and beautiful, wavy texture with the Bed Head Curve Check Tourmaline Ceramic Styling Iron. This easy-to-use wand will have you turning heads in tousled, touchable texture. The unique, bead-shaped barrel was designed for versatility to deliver different types of texture-- loose tousled curls AND waves. High Heat up to 400° F quickly locks in the curl with a clamp-free wrap-and-go design that leaves no creases behind and a natural-looking finish. Tourmaline Ceramic helps to reduce frizz and lock in shine for amazing body throughout. The Bed Head Curve Check Tourmaline Ceramic Styling Iron also comes with a Bonus Heat-protective Glove and a Tangle-Free Swivel Cord that make it easy to style with. Dual Voltage for worldwide use means you can take this baby with you anywhere you go. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. Clamp free wrap and go design",3,"['title: excellent product \ntext: this iron rocks, the curls stay over night and look great all day, cant find another iron like this one']","The product is highly praised for its performance, as it effectively maintains curls overnight and ensures they look great throughout the day, making it stand out from other similar products on the market [0].",6.0
How’s the quality of this product,"TOUSLED WAVES AND TEMPTING TEXTURE. Give your hair big and beautiful, wavy texture with the Bed Head Curve Check Tourmaline Ceramic Styling Iron. This easy-to-use wand will have you turning heads in tousled, touchable texture. The unique, bead-shaped barrel was designed for versatility to deliver different types of texture-- loose tousled curls AND waves. High Heat up to 400° F quickly locks in the curl with a clamp-free wrap-and-go design that leaves no creases behind and a natural-looking finish. Tourmaline Ceramic helps to reduce frizz and lock in shine for amazing body throughout. The Bed Head Curve Check Tourmaline Ceramic Styling Iron also comes with a Bonus Heat-protective Glove and a Tangle-Free Swivel Cord that make it easy to style with. Dual Voltage for worldwide use means you can take this baby with you anywhere you go. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. Clamp free wrap and go design",4,['title: Five Stars \ntext: straight forward product. been using for a couple months and holding on strong!'],"The product is described as straightforward and has been used for a couple of months, maintaining its durability and performance, which suggests a high quality. [0]",5.0
How’s the quality of this product,"TOUSLED WAVES AND TEMPTING TEXTURE. Give your hair big and beautiful, wavy texture with the Bed Head Curve Check Tourmaline Ceramic Styling Iron. This easy-to-use wand will have you turning heads in tousled, touchable texture. The unique, bead-shaped barrel was designed for versatility to deliver different types of texture-- loose tousled curls AND waves. High Heat up to 400° F quickly locks in the curl with a clamp-free wrap-and-go design that leaves no creases behind and a natural-looking finish. Tourmaline Ceramic helps to reduce frizz and lock in shine for amazing body throughout. The Bed Head Curve Check Tourmaline Ceramic Styling Iron also comes with a Bonus Heat-protective Glove and a Tangle-Free Swivel Cord that make it easy to style with. Dual Voltage for worldwide use means you can take this baby with you anywhere you go. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. Clamp free wrap and go design",5,"[""title: ABSALOUTLEY GREAT \ntext: This product came early (always a good sign) I did my hair and it came out BEAUTIFUL. I usually don't curl my hair but I'm so glad I did. I need to work on my technique but it's great. It's cheap and great :)""]","The product is praised for its quality, as it arrived early and performed well, resulting in beautiful hair. The user, who typically does not curl their hair, expressed satisfaction with the product's performance and affordability, indicating it is both cheap and effective [0].",5.75
How’s the quality of this product,"TOUSLED WAVES AND TEMPTING TEXTURE. Give your hair big and beautiful, wavy texture with the Bed Head Curve Check Tourmaline Ceramic Styling Iron. This easy-to-use wand will have you turning heads in tousled, touchable texture. The unique, bead-shaped barrel was designed for versatility to deliver different types of texture-- loose tousled curls AND waves. High Heat up to 400° F quickly locks in the curl with a clamp-free wrap-and-go design that leaves no creases behind and a natural-looking finish. Tourmaline Ceramic helps to reduce frizz and lock in shine for amazing body throughout. The Bed Head Curve Check Tourmaline Ceramic Styling Iron also comes with a Bonus Heat-protective Glove and a Tangle-Free Swivel Cord that make it easy to style with. Dual Voltage for worldwide use means you can take this baby with you anywhere you go. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. Clamp free wrap and go design",6,"[""title: LOVE IT \ntext: I am current cosmetologist. and I am in love with all tigi products.and i decided to try this especially cause its cheaper than retail price.and the curls and waves i was achieving were amazing. i haven't had any issues with this.and i have received many compliments. and i have even recommended it to my clients.""]","The user, a cosmetologist, expresses high satisfaction with the quality of the TIGI product, noting that it helps achieve amazing curls and waves. They have not encountered any issues with the product and have received numerous compliments, leading them to recommend it to their clients [0].",6.75
How’s the quality of this product,"TOUSLED WAVES AND TEMPTING TEXTURE. Give your hair big and beautiful, wavy texture with the Bed Head Curve Check Tourmaline Ceramic Styling Iron. This easy-to-use wand will have you turning heads in tousled, touchable texture. The unique, bead-shaped barrel was designed for versatility to deliver different types of texture-- loose tousled curls AND waves. High Heat up to 400° F quickly locks in the curl with a clamp-free wrap-and-go design that leaves no creases behind and a natural-looking finish. Tourmaline Ceramic helps to reduce frizz and lock in shine for amazing body throughout. The Bed Head Curve Check Tourmaline Ceramic Styling Iron also comes with a Bonus Heat-protective Glove and a Tangle-Free Swivel Cord that make it easy to style with. Dual Voltage for worldwide use means you can take this baby with you anywhere you go. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. Clamp free wrap and go design",7,"['title: Excellent \ntext: Curling iron worth the money! Excellent product, and Bedhead is worth the extra dollars! I would recommend this product to anyone that loves to curl their hair!']","The curling iron is praised for its quality, with the user stating that it is worth the money and recommending it to anyone who loves to curl their hair. The product is described as excellent, and the brand Bedhead is noted as being worth the extra cost [0].",5.75
How’s the quality of this product,"TOUSLED WAVES AND TEMPTING TEXTURE. Give your hair big and beautiful, wavy texture with the Bed Head Curve Check Tourmaline Ceramic Styling Iron. This easy-to-use wand will have you turning heads in tousled, touchable texture. The unique, bead-shaped barrel was designed for versatility to deliver different types of texture-- loose tousled curls AND waves. High Heat up to 400° F quickly locks in the curl with a clamp-free wrap-and-go design that leaves no creases behind and a natural-looking finish. Tourmaline Ceramic helps to reduce frizz and lock in shine for amazing body throughout. The Bed Head Curve Check Tourmaline Ceramic Styling Iron also comes with a Bonus Heat-protective Glove and a Tangle-Free Swivel Cord that make it easy to style with. Dual Voltage for worldwide use means you can take this baby with you anywhere you go. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. Clamp free wrap and go design",01,"['title: Great product and quality. \ntext: Everything about this curler is great compared to other high end ones. Make the purchase I recommend. Curls last a long time.', 'title: Four Stars \ntext: Very good product with affordable price. You have to wear the glove or you will burn yourself']","The product is praised for its quality, with one user noting that it performs well compared to other high-end options, and that the curls it produces last a long time [0]. Another user describes it as a very good product at an affordable price, although they caution that using a glove is necessary to avoid burns [1].",6.0
How’s the quality of this product,"TOUSLED WAVES AND TEMPTING TEXTURE. Give your hair big and beautiful, wavy texture with the Bed Head Curve Check Tourmaline Ceramic Styling Iron. This easy-to-use wand will have you turning heads in tousled, touchable texture. The unique, bead-shaped barrel was designed for versatility to deliver different types of texture-- loose tousled curls AND waves. High Heat up to 400° F quickly locks in the curl with a clamp-free wrap-and-go design that leaves no creases behind and a natural-looking finish. Tourmaline Ceramic helps to reduce frizz and lock in shine for amazing body throughout. The Bed Head Curve Check Tourmaline Ceramic Styling Iron also comes with a Bonus Heat-protective Glove and a Tangle-Free Swivel Cord that make it easy to style with. Dual Voltage for worldwide use means you can take this baby with you anywhere you go. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. HOW IT WORKS: Wrap a 1"""" section of hair around the barrel leaving the ends out. For looser curls, wrap the hair around the balls of the barrel, or in-between for tighter curls. Clamp free wrap and go design",02,"['title: Great product and quality. \ntext: Everything about this curler is great compared to other high end ones. Make the purchase I recommend. Curls last a long time.', 'title: Very good product \ntext: So quick and easy to use. Curls are beautiful and last all day, which surprised me as someone with fine/thin hair that everything loses hold after an hour']","The product is highly praised for its quality, with users noting that it performs exceptionally well compared to other high-end options. The curls created by the curler are long-lasting, which is a significant advantage. Users recommend purchasing the product due to its effectiveness in maintaining curls throughout the day, even for those with fine or thin hair, which typically struggles to hold curls for extended periods [0][1].",7.75
