original_query,product_description,subset,comments,summary,avg_score
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",0,"['title: Beautiful and Exceptional Product \ntext: Absolutely beautiful Tiara and looks very expensive.  Exceptional packaging and shipping,.  Thank you very much!!!!!']","The product is described as an absolutely beautiful tiara that appears very expensive, highlighting its aesthetic appeal. Additionally, the packaging and shipping are noted as exceptional, contributing to the overall positive perception of the product's beauty and presentation [0].",7.0
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",1,"[""title: Beautiful.  Great value! \ntext: Beautiful design.  Metal...no plastic.  Extra stones included.  Excellent value.  Couldn't ask for more""]","The product is praised for its beautiful design, which features metal construction instead of plastic, enhancing its aesthetic appeal. Additionally, the inclusion of extra stones adds to its value, making it an excellent purchase overall [0].",7.5
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",2,"['title: Queens Always! \ntext: This product dazzled the attendees. Beautiful Blacks Queens represent legacy, beauty, and loyalty. The Tiaras brought everything together. Just Beautiful!!!']","The product was highly praised for its dazzling effect on attendees, with a particular emphasis on its representation of legacy, beauty, and loyalty among Beautiful Black Queens. The inclusion of Tiaras was noted as a key element that enhanced the overall beauty of the product, bringing everything together in a stunning display [0].",8.5
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",3,['title: A delight for every diva!! \ntext: Beautiful and very well made. Solid with good weight and combs are perfect to hold securely. Highly recommend this product.'],"The product is described as beautiful and well-made, with a solid construction and good weight. The combs are noted for their ability to hold securely, making it highly recommended for those seeking both beauty and functionality in a product [0].",8.0
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",4,"[""title: It is beautiful and very sturdy \ntext: It is beautiful and very sturdy, making it a very good value.  Can't wait to see it on our Senior Ball Queen!""]","The product is described as both beautiful and sturdy, which contributes to its perceived value. The anticipation of seeing it on the Senior Ball Queen highlights its aesthetic appeal and suitability for special occasions [0].",7.0
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",5,"[""title: BEAUTIFUL lil Tiara \ntext: BEAUTIFUL lil Tiara, and it's fairly heavy not cheap plastic, quality product and you cannot beat the price! Thanks!""]","The product, a tiara, is praised for its beauty and quality. It is described as being made of a substantial material rather than cheap plastic, which adds to its appeal. Additionally, the product is considered to be a great value for its price, making it an attractive purchase option [0].",7.75
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",6,['title: BEST QUALITY \ntext: This item was worth the $.  Its beautiful. Lots of BLING!'],"The product is described as beautiful and worth the price, with a notable amount of 'bling' that enhances its aesthetic appeal [0].",6.25
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",7,['title: quality made \ntext: The quality of the crown was much better that I had imagined it would be for the price.'],[0] is not related to the query.,0.0
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",01,"['title: Beautiful and Exceptional Product \ntext: Absolutely beautiful Tiara and looks very expensive.  Exceptional packaging and shipping,.  Thank you very much!!!!!', ""title: Beautiful.  Great value! \ntext: Beautiful design.  Metal...no plastic.  Extra stones included.  Excellent value.  Couldn't ask for more""]","The product is praised for its beauty and perceived luxury, with one user describing it as an 'absolutely beautiful Tiara' that looks 'very expensive' and commending the exceptional packaging and shipping [0]. Another user highlights the beautiful design, noting the use of metal instead of plastic, and appreciates the inclusion of extra stones, emphasizing the product's excellent value [1].",8.5
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",02,"['title: Beautiful and Exceptional Product \ntext: Absolutely beautiful Tiara and looks very expensive.  Exceptional packaging and shipping,.  Thank you very much!!!!!', 'title: Queens Always! \ntext: This product dazzled the attendees. Beautiful Blacks Queens represent legacy, beauty, and loyalty. The Tiaras brought everything together. Just Beautiful!!!']","The product is described as absolutely beautiful, with a luxurious appearance that suggests it is very expensive. The packaging and shipping are also noted as exceptional, contributing to the overall impression of quality and beauty [0]. Additionally, the product is praised for its dazzling effect, particularly in the context of representing beauty and legacy, as it brought everything together beautifully for the attendees [1].",8.5
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",03,"['title: Beautiful and Exceptional Product \ntext: Absolutely beautiful Tiara and looks very expensive.  Exceptional packaging and shipping,.  Thank you very much!!!!!', 'title: A delight for every diva!! \ntext: Beautiful and very well made. Solid with good weight and combs are perfect to hold securely. Highly recommend this product.']","The product is described as absolutely beautiful and appears to be very expensive, with exceptional packaging and shipping, which adds to its overall appeal [0]. Additionally, it is noted for being very well made, solid, and having a good weight, with combs that hold securely, making it a delightful choice for anyone looking for a beautiful product [1].",8.5
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",04,"['title: Beautiful and Exceptional Product \ntext: Absolutely beautiful Tiara and looks very expensive.  Exceptional packaging and shipping,.  Thank you very much!!!!!', ""title: It is beautiful and very sturdy \ntext: It is beautiful and very sturdy, making it a very good value.  Can't wait to see it on our Senior Ball Queen!""]","The product is praised for its beauty and perceived high value, with one user describing it as an 'absolutely beautiful Tiara' that looks expensive and comes with exceptional packaging and shipping [0]. Another user highlights its beauty and sturdiness, noting that it offers good value and expressing excitement to see it worn at a special event [1].",8.25
How beautiful are the crystal crowns,"❤Gift Package for You: With this package you will get a crystal crown and a exquisite gift box. Best gift on Black Friday, Cyber Monday & Christmas.",05,"['title: Beautiful and Exceptional Product \ntext: Absolutely beautiful Tiara and looks very expensive.  Exceptional packaging and shipping,.  Thank you very much!!!!!', ""title: BEAUTIFUL lil Tiara \ntext: BEAUTIFUL lil Tiara, and it's fairly heavy not cheap plastic, quality product and you cannot beat the price! Thanks!""]","The product is described as a beautiful tiara that appears very expensive, with exceptional packaging and shipping, enhancing its overall appeal [0]. Additionally, it is noted for its quality construction, being fairly heavy and not made of cheap plastic, which adds to its beauty and value, especially considering its competitive price [1].",8.5
