original_query,product_description,subset,comments,summary,avg_score
How’s the quality of Super Mario,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",0,['title: The quality of the product is perfect \ntext: The game works great and the package arrived without damage. Great and easy purchase.'],"The product is described as having perfect quality, with the game functioning well and the package arriving undamaged, making it a great and easy purchase [0].",4.0
How’s the quality of Super Mario,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",1,['title: The quality of the program \ntext: I liked the way my children loved how vibrant and quality the games is'],"The comment highlights the positive reception of the program's quality, particularly noting that the vibrant and high-quality nature of the games was appreciated by the children [0].",3.0
How’s the quality of Super Mario,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",2,"['title: The best game \ntext: This product arrived very fast even though I lived internationally. The quality was excellent and the game arrived in top tier condition. Loved the game although super mario sunshine is kinda hard to play. Overall, loved this and would 10/10 buy again.']","The product was praised for its excellent quality, arriving in top-tier condition despite international shipping. The user expressed high satisfaction with the purchase, stating they would buy it again, rating it 10 out of 10 [0].",5.0
How’s the quality of Super Mario,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",3,['title: FALSE ADVERTISEMENT! GREAT PRODUCT! \ntext: i got the European version. good thing the switch is not region locked or else i would pissed! atleast they fulfilled the order with something good... unlike Joe Biden'],[0] is not related to the query.,0.0
How’s the quality of Super Mario,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",4,['title: Great Product \ntext: I was so eager to receive this product as I am a huge Mario fan.  I received the product within the alloted time period as advised.  Once I got it I was eager to play it and I will say I was so happy this not only worked it looked brand new.  It was still in a sealed package and was packaged well to ensure it was not damaged.  I have played the game numerous times since receiving the game and it has been great.  I am so happy with this product.  I would definitely recommend.'],"The product was received in excellent condition, appearing brand new and well-packaged to prevent damage. It has been used multiple times and continues to perform well, leading to high satisfaction and a strong recommendation from the user [0].",6.0
How’s the quality of Super Mario,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",5,['title: great quality nostalgia trip \ntext: 3 of some of the best mario games all in one. came in nice packaging not damage. good nostalgia trip plus it comes with each games soundtrack. great product only downside is how they didn’t include mario galaxy 2 😪'],"The product is praised for its quality, offering three of the best Mario games in one package. The packaging was received in good condition, undamaged, and the inclusion of each game's soundtrack adds to the nostalgic experience. However, a noted downside is the absence of Mario Galaxy 2 in the collection [0].",7.0
How’s the quality of Super Mario,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",6,['title: Deliver \ntext: I like the prompt delivery. And it was just what I irdered'],[0] is not related to the query.,0.0
How’s the quality of Super Mario,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",7,"[""title: Great service \ntext: Arrived in great condition,  no damage whatsoever on the box.  It's great and work as intended.  It also arrived quicker than expected. Im very satisfied with the service""]",[0] is not related to the query.,0.0
How’s the quality of Super Mario,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",01,"['title: The quality of the product is perfect \ntext: The game works great and the package arrived without damage. Great and easy purchase.', 'title: The quality of the program \ntext: I liked the way my children loved how vibrant and quality the games is']","The product is praised for its excellent quality, with users noting that the game functions well and the packaging was intact upon arrival, making for a smooth purchasing experience [0]. Additionally, the vibrant and high-quality nature of the games is appreciated, particularly by children, indicating a positive reception of the product's quality [1].",5.25
How’s the quality of Super Mario,"Play three of Mario’s greatest 3D platforming adventures—all in one package! Play three iconic games at home or on the go—all in one package on the Nintendo Switch system! Jump into paintings in Super Mario 64, clean up paint-like goop in Super Mario Sunshine, and fly from planet to planet in Super Mario Galaxy.  Run, jump, and dive with ease! Make Mario move using the Nintendo Switch system’s Joy-Con controllers. You can also pass a Joy-Con controller to a friend to play the Super Mario Galaxy game in Co-Star Mode! Mario’s movements are as smooth as ever with HD resolution for each game, while still retaining the look and feel of the originals.  Listen to timeless Super Mario tunes Listen to a total of 175 iconic tunes from all three games! Whether you want to get up and dance or take a minute to relax—this collection has music to fit your mood!  Even when you aren’t playing, you can enjoy the sounds that these worlds (and galaxies!) are so famous for. With three games, modern upgrades, and music-player mode, this collection is filled with fun for both new players and 3D platforming Mario masters. Super Mario 3D All-Stars will be available as a limited-run retail edition and a digital edition that is available for a limited time until the end of March 2021. The physical version of Super Mario 3D All-Stars (released Sep. 18) will continue to be shipped to retailers and available for purchase through March 31, 2021 or while supplies last. The digital version of Super Mario 3D All-Stars will be available for purchase through March 31, 2021. Once the digital edition has been purchased on your Nintendo Account, it can be re-downloaded and played if deleted from your device.  Software compatibility and play experience may differ on Nintendo Switch Lite. Additional accessories may be required (sold separately). Terms apply.",02,"['title: The quality of the product is perfect \ntext: The game works great and the package arrived without damage. Great and easy purchase.', 'title: The best game \ntext: This product arrived very fast even though I lived internationally. The quality was excellent and the game arrived in top tier condition. Loved the game although super mario sunshine is kinda hard to play. Overall, loved this and would 10/10 buy again.']","The quality of the product is highly praised by users, with comments highlighting that the game works great and the packaging arrived without damage, making it an easy purchase [0]. Additionally, another user noted that the product arrived quickly, even internationally, and was in excellent condition, expressing satisfaction with the game's quality and stating they would buy it again [1].",6.25
