original_query,product_description,subset,comments,summary,avg_score
What’s the quality of the gauge gear,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",0,"['title: very good quality \ntext: i bought this like half a month ago and since the first time i used it, I felt how it was helping me to cure my lobes so till this day good healing no problem, I recomend it so much']","The product is praised for its high quality, as it has been effective in aiding the healing process of the user's lobes since the first use. The user reports no problems and highly recommends the product for its healing properties [0].",5.0
What’s the quality of the gauge gear,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",1,"['title: Great Product \ntext: This product was a little small in size, but it does just what is expected and is well worth the price and safety of your ears. I highly recommend to any future gauge buyers.']","The product is slightly smaller than expected, but it performs as anticipated and offers good value for the price, ensuring the safety of the user's ears. It is highly recommended for future gauge buyers [0].",6.0
What’s the quality of the gauge gear,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",2,"[""title: Good \ntext: It's a good product. It helps stretching easy and the smell is pleasing if you know what I mean ;)""]","The product is described as good, aiding in easy stretching and having a pleasing smell, which contributes positively to its quality [0].",4.75
What’s the quality of the gauge gear,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",3,['title: Five Stars \ntext: Super fast shipping and the product seems to be worth the money for sure'],[0] is not related to the query.,0.0
What’s the quality of the gauge gear,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",4,"['title: Great \ntext: The product did meet the expectations . I really loved it, made gauging sooo much easier, and organic oils made for clean healing . Highly Recommend it .']",The product met expectations and was highly appreciated for its ease of use in gauging and the clean healing facilitated by organic oils. The reviewer highly recommends it for these qualities [0].,7.0
What’s the quality of the gauge gear,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",5,"['title: This is wonderful \ntext: The product itself is wonderful. It helped me stretch my ears and get rid of the smell, but the delivery was awful. It came 4 days past the expected delivery. I ordered my gauges at the exact same time I ordered this, and they came 3 days after I ordered. I was hoping they would arrive around the same time of each other, but I had to improvise and stretch with Petroleum Jelly, which disappointed me compared to this.']","The product is praised for its effectiveness in helping to stretch ears and eliminate odor, indicating a high quality of performance. However, the user experienced dissatisfaction with the delivery service, as the product arrived four days later than expected, contrasting with the timely arrival of another item ordered simultaneously [0].",6.0
What’s the quality of the gauge gear,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",6,"['title: Good \ntext: Over all decent product, used for stretching my septum. Not bad lubrication over all and smells nice. Helps with dryness. Satisfied (:']","The product is described as decent overall, particularly for use in stretching a septum. It provides satisfactory lubrication and has a pleasant smell, which helps with dryness, leading to overall satisfaction with the product's quality [0].",5.0
What’s the quality of the gauge gear,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",7,['title: Excellent Product \ntext: I highly recommend this product for larger gauge ear rings. It works better than anything on the market. Thank you!'],"The product is highly recommended for use with larger gauge earrings, as it performs better than other options available on the market [0].",4.0
What’s the quality of the gauge gear,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",01,"['title: very good quality \ntext: i bought this like half a month ago and since the first time i used it, I felt how it was helping me to cure my lobes so till this day good healing no problem, I recomend it so much', 'title: Great Product \ntext: This product was a little small in size, but it does just what is expected and is well worth the price and safety of your ears. I highly recommend to any future gauge buyers.']","The product is praised for its quality, with one user noting that it has been effective in aiding the healing of their lobes since they began using it, indicating good healing without any issues[0]. Another user mentions that despite the product being slightly small in size, it performs as expected and is considered a good value for the price, emphasizing its safety for ear use[1]. Both users highly recommend the product, highlighting its effectiveness and value[0][1].",7.0
What’s the quality of the gauge gear,"['LUBRICANT - Gauge Gear lubricates your skin while you stretch! Helps Insertion of Tapers and Plugs Double Flared/Oversized Plugs. Also perfect to restart a closed piercing with an earring', 'PIERCING AFTERCARE - Great for any new external piercing. Helps relieve the effects of a fresh piercing', 'ALL NATURAL INGREDIENTS - Jojoba Oil, Sweet Almond Oil, Tea Tree Oil, Wheat Germ Oil, Myrhh Oil and Beeswax', 'Never stretch your ears without Gauge Gear! Read ingredient list below to see their effects']",02,"['title: very good quality \ntext: i bought this like half a month ago and since the first time i used it, I felt how it was helping me to cure my lobes so till this day good healing no problem, I recomend it so much', ""title: Good \ntext: It's a good product. It helps stretching easy and the smell is pleasing if you know what I mean ;)""]","The product is praised for its high quality, with one user noting that it has been effective in aiding the healing of their lobes since they began using it, and they continue to experience good results without any issues [0]. Another user highlights the product's ease of use for stretching and appreciates its pleasant smell [1].",6.0
