original_query,product_description,subset,comments,summary,avg_score
How's the quality of the makeup brush,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",0,['title: good quality \ntext: Good product I recommend it for everyone soft and good quality'],The product is praised for its good quality and is recommended for everyone due to its softness and overall quality [0].,4.0
How's the quality of the makeup brush,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",1,['title: Great quality \ntext: Great Quality of brushes & the price is amazing for how many you get'],"The product is praised for its great quality, particularly highlighting the brushes. Additionally, the price is considered amazing given the quantity provided [0].",5.0
How's the quality of the makeup brush,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",2,"['title: Exelente producto \ntext: Me encantaron , son muy buenas no sueltan pelos la calidad es exelente']","The product is highly praised for its excellent quality, as it does not shed hair and is well-received by the user [0].",5.0
How's the quality of the makeup brush,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",3,['title: great product \ntext: This product is just what i ordered and just what i needed. it shipped quickly and is a super great product'],[0] is not related to the query.,0.0
How's the quality of the makeup brush,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",4,"['title: Great Product! \ntext: I Love them, not to rough, blend well, and good quality!']","The product is praised for its good quality, with the user noting that it is not too rough and blends well, indicating satisfaction with its performance and texture [0].",5.0
How's the quality of the makeup brush,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",5,"['title: Soft on the skin, good quality \ntext: So soft on the skin and good for beginners too, good value for the price']","The product is described as being very soft on the skin, making it suitable for beginners. It is also considered to offer good value for the price, indicating a positive assessment of its quality [0].",5.75
How's the quality of the makeup brush,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",6,"['title: Gran producto \ntext: Las brochas son suaves y duraderas, tengo meses con ellas y sin quejas, es un gran producto por su bajo valor.']","The product is praised for its quality, with the brushes being described as soft and durable. The user has been using them for months without any complaints, highlighting the product's value for money [0].",6.0
How's the quality of the makeup brush,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",7,"['title: Strong Chemical Odor \ntext: I honestly cannot even review the quality of use of the product because I can’t even get past the strong odor from the brushes themselves. Seriously, people want clean products. Do better.']","The user is unable to assess the quality of the product due to a strong chemical odor emanating from the brushes, which is a significant deterrent to use. They express a desire for cleaner products, indicating that the odor negatively impacts their perception of the product's quality [0].",4.0
How's the quality of the makeup brush,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",01,"['title: good quality \ntext: Good product I recommend it for everyone soft and good quality', 'title: Great quality \ntext: Great Quality of brushes & the price is amazing for how many you get']","The product is praised for its good quality, with one user recommending it for its softness and overall quality [0]. Another user highlights the great quality of the brushes, noting that the price is excellent given the quantity provided [1].",6.0
How's the quality of the makeup brush,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",02,"['title: good quality \ntext: Good product I recommend it for everyone soft and good quality', 'title: Exelente producto \ntext: Me encantaron , son muy buenas no sueltan pelos la calidad es exelente']","The product is praised for its good quality, with one user recommending it for everyone due to its softness and overall quality [0]. Another user describes the product as excellent, noting that it does not shed hair and highlighting its excellent quality [1].",6.0
How's the quality of the makeup brush,"Premium Makeup brushes: 5pcs big kabuki makeup brushes and 12pcs essential make up brushes. High density fluffy bristle, soft but firm to hold makeup. NO SHEDDING!",03,"['title: good quality \ntext: Good product I recommend it for everyone soft and good quality', 'title: great product \ntext: This product is just what i ordered and just what i needed. it shipped quickly and is a super great product']",The product is praised for its good quality and is recommended for everyone due to its softness and overall quality [0]. [1] is not related to the query.,4.25
