original_query,product_description,subset,comments,summary,avg_score
Are the headbands comfortable to wear,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,0,['title: Love this product \ntext: It was a favorite among old and young at my 1 year olds birthday! The material is a velvet quality and I will buy this again'],[0] is not related to the query.,0.0
Are the headbands comfortable to wear,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,1,['title: comfy \ntext: I wore this today (I am 60) for 2 hours and forgot I had it on :)'],"The product is described as very comfortable, as the user, who is 60 years old, wore it for two hours and forgot they had it on, indicating a high level of comfort [0].",5.0
Are the headbands comfortable to wear,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,2,['title: Comfy band \ntext: Very comfortable. I was worried that it would hurt around the ears but we all wore them almost all day and the kids were fine and even comfortable on adults.'],"The product is described as very comfortable, with initial concerns about discomfort around the ears being unfounded. Users, including children and adults, were able to wear it almost all day without any issues, indicating a high level of comfort [0].",6.0
Are the headbands comfortable to wear,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,3,"['title: Comfy, durable, cute \ntext: I purchased these headband ears to use in a project. They’re very comfortable - so much so that I forgot I was wearing a set. Since I’m altering them for my own use, I have no complaints about their appearance; however, if I were using them as is, I would say the female ears look a little cheap. With a little effort I was able to pull the bows off and add my own.Overall, the value and quality of these headbands are good and I might purchase more in the future.']","The headband ears are described as very comfortable, to the extent that the user forgot they were wearing them. This suggests a high level of comfort, which is a significant positive aspect of the product's design and usability [0].",5.0
Are the headbands comfortable to wear,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,4,['title: Great Product \ntext: great product came in time and good quality.  Most of all the kids loved it.'],[0] is not related to the query.,0.0
Are the headbands comfortable to wear,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,5,['title: Adorable for adults or kids! \ntext: This is the best product. They are very stretchy and comfortable for adults. We wore them for hours with no discomfort. They are adorable.'],"The product is described as very stretchy and comfortable for adults, allowing them to be worn for hours without discomfort, highlighting its comfort as a key feature [0].",5.0
Are the headbands comfortable to wear,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,6,"[""title: Worth it and look amazing \ntext: They were super cheap which make me though this was not going to be a good product but I ended up liking them way more than expected. They are super confortable and have some kind of padding that prevents me from the head aches that usually get when I wear things like this one. I wore it the entire party and didn't even feel them.""]","The product is described as being surprisingly comfortable, with padding that prevents headaches typically associated with similar items. The user was able to wear it throughout an entire party without discomfort, highlighting its comfort and wearability [0].",6.0
Are the headbands comfortable to wear,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,7,"[""title: Surprised by the quality \ntext: I bought these for my nephew's birthday party and I wasn't expecting much as it was just for that day. But I was surprised by the quality of this product. The material is soft and the finishing is very nice too. None of them were defective and it's something the kids can continue to wear after the party because it is a good material.""]","The product is noted for its high-quality material, which is described as soft and well-finished. This suggests that the product is comfortable to wear, making it suitable for continued use beyond its initial purpose.[0]",4.0
Are the headbands comfortable to wear,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,01,"['title: Love this product \ntext: It was a favorite among old and young at my 1 year olds birthday! The material is a velvet quality and I will buy this again', 'title: comfy \ntext: I wore this today (I am 60) for 2 hours and forgot I had it on :)']","The product is described as very comfortable, as the user, who is 60 years old, wore it for two hours and forgot they had it on, indicating a high level of comfort [0]. [0] is not related to the query.",5.0
Are the headbands comfortable to wear,GREAT VALUE: Come with 20 pcs Mouse Ears Headbands in 2 style (10 ears blackfor boys and 10 ears with Red bow for girls )The set of 20 Mouse ears party supplies are the must-have items for anyone who wants to have themed party. These headbands will amuse kids and adults.,02,"['title: Love this product \ntext: It was a favorite among old and young at my 1 year olds birthday! The material is a velvet quality and I will buy this again', 'title: Comfy band \ntext: Very comfortable. I was worried that it would hurt around the ears but we all wore them almost all day and the kids were fine and even comfortable on adults.']","The product is described as very comfortable, with initial concerns about discomfort around the ears proving unfounded. Users, including children and adults, were able to wear it almost all day without any issues, indicating a high level of comfort [0]. [0] is not related to the query.",6.0
